step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.0000,0.0000,0.0,1000.0
50176,mppi,3,0.0000,0.0000,0.0,1000.0
100096,pi,3,0.0000,0.0000,0.0,1000.0
100096,mppi,3,0.0040,0.0040,0.3333333333333333,827.6666666666666
150016,pi,3,0.0000,0.0000,0.0,1000.0
150016,mppi,3,0.0000,0.0000,0.0,1000.0
200192,pi,3,0.0000,0.0000,0.0,1000.0
200192,mppi,3,0.0000,0.0000,0.0,1000.0
250112,pi,3,0.0000,0.0000,0.0,1000.0
250112,mppi,3,0.0000,0.0000,0.0,1000.0
300032,pi,3,0.0000,0.0000,0.0,1000.0
300032,mppi,3,0.0000,0.0000,0.0,1000.0
350208,pi,3,0.0000,0.0000,0.0,1000.0
350208,mppi,3,0.0000,0.0000,0.0,1000.0
400128,pi,3,0.0126,0.0126,1.0,837.4
400128,mppi,3,0.0000,0.0000,0.0,1000.0
450048,pi,3,0.0034,0.0034,0.2,901.8
450048,mppi,3,0.0000,0.0000,0.0,1000.0
500224,pi,3,0.0044,0.0044,0.2,988.2
500224,mppi,3,0.0000,0.0000,0.0,1000.0
