step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0000,0.0,1000.0
50176,mppi,1,0.0000,0.0000,0.0,1000.0
100096,pi,1,0.0006,0.0006,0.2,953.4
100096,mppi,1,0.0110,0.0110,2.3333333333333335,810.0
150016,pi,1,0.0018,0.0018,0.4,898.6
150016,mppi,1,0.0007,0.0007,0.3333333333333333,994.6666666666666
200192,pi,1,0.0000,0.0000,0.0,1000.0
200192,mppi,1,0.0040,0.0040,0.3333333333333333,933.0
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0000,0.0,1000.0
300032,pi,1,0.0000,0.0000,0.0,1000.0
300032,mppi,1,0.0017,0.0017,0.3333333333333333,995.3333333333334
350208,pi,1,0.0000,0.0000,0.0,1000.0
350208,mppi,1,0.0000,0.0000,0.0,1000.0
400128,pi,1,0.0028,0.0028,0.4,842.4
400128,mppi,1,0.0000,0.0000,0.0,1000.0
450048,pi,1,0.0016,0.0016,0.4,936.8
450048,mppi,1,0.0000,0.0000,0.0,1000.0
500224,pi,1,0.0012,0.0012,0.2,973.0
500224,mppi,1,0.0500,0.0500,2.0,655.0
