step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.0000,0.0000,0.0,1000.0
50176,mppi,4,0.0000,0.0000,0.0,1000.0
100096,pi,4,0.0000,0.0000,0.0,1000.0
100096,mppi,4,0.0000,0.0000,0.0,1000.0
150016,pi,4,0.0126,0.0126,3.0,734.0
150016,mppi,4,0.0043,0.0043,1.0,165.66666666666666
200192,pi,4,0.0140,0.0140,2.0,255.4
200192,mppi,4,0.0123,0.0123,1.3333333333333333,220.66666666666666
250112,pi,4,0.0590,0.0590,3.0,214.6
250112,mppi,4,0.0733,0.0733,5.0,180.66666666666666
300032,pi,4,0.0210,0.0210,1.0,199.2
300032,mppi,4,0.0260,0.0260,6.0,366.0
350208,pi,4,0.4496,0.4496,1.6,394.0
350208,mppi,4,0.2553,0.2553,8.666666666666666,202.66666666666666
400128,pi,4,0.3558,0.3558,3.0,260.0
400128,mppi,4,0.5453,0.5453,1.0,233.33333333333334
450048,pi,4,0.0000,0.0000,0.0,1000.0
450048,mppi,4,0.1177,0.1177,1.3333333333333333,467.3333333333333
500224,pi,4,0.2072,0.2072,4.0,311.4
500224,mppi,4,0.0000,0.0000,0.0,1000.0
