step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.0000,0.0,1000.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.0000,0.0000,0.0,1000.0
100096,mppi,0,0.0000,0.0000,0.0,1000.0
150016,pi,0,0.0064,0.0064,3.4,445.6
150016,mppi,0,0.0463,0.0463,0.3333333333333333,937.3333333333334
200192,pi,0,0.0098,0.0098,2.0,298.6
200192,mppi,0,0.0060,0.0060,2.0,555.6666666666666
250112,pi,0,0.0644,0.0644,6.4,154.4
250112,mppi,0,0.0907,0.0907,5.0,352.0
300032,pi,0,0.1164,0.1164,6.0,184.0
300032,mppi,0,0.1140,0.1140,7.0,164.33333333333334
350208,pi,0,0.1596,0.1596,6.0,150.8
350208,mppi,0,0.1513,0.1513,2.6666666666666665,208.66666666666666
400128,pi,0,0.1888,0.1888,5.0,175.2
400128,mppi,0,0.2357,0.2357,4.333333333333333,185.0
450048,pi,0,0.1858,0.1858,5.0,164.6
450048,mppi,0,0.2580,0.2580,4.666666666666667,200.33333333333334
500224,pi,0,0.2532,0.2532,3.0,160.0
500224,mppi,0,0.3700,0.3700,3.0,160.0
