step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.4342,19.0,1000.0
50176,mppi,0,0.0000,0.9990,0.0,1000.0
100096,pi,0,0.0000,0.9990,0.0,1000.0
100096,mppi,0,0.0000,0.9990,0.0,1000.0
150016,pi,0,0.0000,0.9692,1.0,1000.0
150016,mppi,0,0.0000,0.9990,0.0,1000.0
200192,pi,0,0.0106,0.5036,9.0,827.4
200192,mppi,0,0.0000,0.0000,0.0,1000.0
250112,pi,0,0.0000,0.9498,0.6,1000.0
250112,mppi,0,0.0057,0.7593,9.333333333333334,590.3333333333334
300032,pi,0,0.0156,0.8100,2.4,950.8
300032,mppi,0,0.0333,0.9970,0.0,238.0
350208,pi,0,0.0000,0.0640,1.6,1000.0
350208,mppi,0,0.0000,0.3653,22.333333333333332,1000.0
400128,pi,0,0.4222,0.9970,0.0,135.4
400128,mppi,0,0.7410,0.9987,0.0,87.66666666666667
450048,pi,0,0.7274,0.9990,0.0,107.6
450048,mppi,0,0.9117,0.9990,0.0,82.0
500224,pi,0,0.8720,0.9990,0.0,78.4
500224,mppi,0,0.8730,0.9990,0.0,120.0
