step,reward,eval_type,seed
50176,49.8,pi,0
50176,66.1,mppi,0
50176,77.2,jumpy,0
100096,246.8,pi,0
100096,175.1,mppi,0
100096,201.2,jumpy,0
150016,176.3,pi,0
150016,97.3,mppi,0
150016,117.2,jumpy,0
200192,1.5,pi,0
200192,124.8,mppi,0
200192,384.2,jumpy,0
250112,363.1,pi,0
250112,274.3,mppi,0
250112,292.2,jumpy,0
300032,387.1,pi,0
300032,176.8,mppi,0
300032,6.7,jumpy,0
350208,0.0,pi,0
350208,0.0,mppi,0
350208,1.4,jumpy,0
400128,480.9,pi,0
400128,470.4,mppi,0
400128,429.7,jumpy,0
450048,341.0,pi,0
450048,508.4,mppi,0
450048,484.2,jumpy,0
500224,545.7,pi,0
500224,540.3,mppi,0
500224,491.8,jumpy,0
