step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.0000,0.0350,1.0,1000.0
50176,mppi,3,0.0000,0.6310,8.666666666666666,1000.0
100096,pi,3,0.0000,0.9990,0.0,1000.0
100096,mppi,3,0.0000,0.9987,0.3333333333333333,1000.0
150016,pi,3,0.0000,0.9990,0.0,1000.0
150016,mppi,3,0.0000,0.9990,0.0,1000.0
200192,pi,3,0.0000,0.0330,8.6,1000.0
200192,mppi,3,0.0000,0.9467,1.3333333333333333,1000.0
250112,pi,3,0.1154,0.7496,7.6,293.8
250112,mppi,3,0.0317,0.9990,0.0,573.0
300032,pi,3,0.1202,0.2032,9.6,848.2
300032,mppi,3,0.0080,0.3257,7.333333333333333,945.3333333333334
350208,pi,3,0.7930,0.9990,0.0,142.8
350208,mppi,3,0.7067,0.9487,1.0,111.0
400128,pi,3,0.9036,0.9990,0.0,80.6
400128,mppi,3,0.3730,0.9083,5.333333333333333,114.0
450048,pi,3,0.7746,0.9990,0.0,84.8
450048,mppi,3,0.5120,0.9990,0.0,141.0
500224,pi,3,0.8494,0.9990,0.0,148.6
500224,mppi,3,0.4230,0.8180,8.0,551.6666666666666
