step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.9724,3.6,1000.0
50176,mppi,0,0.0000,0.9963,0.6666666666666666,1000.0
100096,pi,0,0.0000,0.5830,26.6,1000.0
100096,mppi,0,0.0000,0.9933,0.3333333333333333,1000.0
150016,pi,0,0.0000,0.9990,0.0,1000.0
150016,mppi,0,0.0000,0.9990,0.0,1000.0
200192,pi,0,0.0000,0.0100,0.8,1000.0
200192,mppi,0,0.0000,0.0023,1.0,1000.0
250112,pi,0,0.2430,0.9990,0.0,202.4
250112,mppi,0,0.1047,0.9990,0.0,505.0
300032,pi,0,0.0000,0.9950,0.2,1000.0
300032,mppi,0,0.0000,0.9963,0.0,1000.0
350208,pi,0,0.0000,0.9986,0.0,1000.0
350208,mppi,0,0.0000,0.9970,0.3333333333333333,1000.0
400128,pi,0,0.0000,0.9990,0.0,1000.0
400128,mppi,0,0.0067,0.9990,0.0,740.3333333333334
450048,pi,0,0.0912,0.9990,0.0,271.8
450048,mppi,0,0.8740,0.9990,0.0,94.66666666666667
500224,pi,0,0.6278,0.9990,0.0,136.2
500224,mppi,0,0.9103,0.9990,0.0,89.33333333333333
