step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.2154,0.8,1000.0
50176,mppi,0,0.0000,0.9953,1.3333333333333333,1000.0
100096,pi,0,0.0000,0.0202,1.0,1000.0
100096,mppi,0,0.0000,0.9260,8.666666666666666,1000.0
150016,pi,0,0.0000,0.9568,3.4,1000.0
150016,mppi,0,0.0000,0.9990,0.0,1000.0
200192,pi,0,0.0000,0.9990,0.0,1000.0
200192,mppi,0,0.0000,0.9990,0.0,1000.0
250112,pi,0,0.0000,0.0100,2.0,1000.0
250112,mppi,0,0.0000,0.0370,2.0,1000.0
300032,pi,0,0.0000,0.9990,0.0,1000.0
300032,mppi,0,0.0000,0.9990,0.0,1000.0
350208,pi,0,0.6216,0.9990,0.0,101.4
350208,mppi,0,0.2873,0.9497,3.0,392.6666666666667
400128,pi,0,0.8242,0.9990,0.0,98.0
400128,mppi,0,0.6860,0.9990,0.0,91.33333333333333
450048,pi,0,0.8360,0.9990,0.0,76.4
450048,mppi,0,0.3370,0.9480,3.6666666666666665,115.33333333333333
500224,pi,0,0.0008,0.9940,0.4,966.8
500224,mppi,0,0.0003,0.9967,0.0,704.0
