step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.8276,11.6,1000.0
50176,mppi,1,0.0000,0.9080,4.333333333333333,1000.0
100096,pi,1,0.0000,0.9990,0.0,1000.0
100096,mppi,1,0.0000,0.9180,1.0,1000.0
150016,pi,1,0.0120,0.5190,3.8,443.8
150016,mppi,1,0.0000,0.9990,0.0,1000.0
200192,pi,1,0.0000,0.1572,24.0,1000.0
200192,mppi,1,0.0000,0.0017,0.6666666666666666,1000.0
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0000,0.0,1000.0
300032,pi,1,0.4272,0.9068,9.8,72.8
300032,mppi,1,0.2673,0.7643,8.666666666666666,100.33333333333333
350208,pi,1,0.0000,0.9816,0.4,1000.0
350208,mppi,1,0.0000,0.1027,21.666666666666668,1000.0
400128,pi,1,0.8966,0.9990,0.0,82.4
400128,mppi,1,0.9213,0.9990,0.0,71.33333333333333
450048,pi,1,0.8982,0.9990,0.0,82.0
450048,mppi,1,0.9313,0.9990,0.0,68.66666666666667
500224,pi,1,0.9288,0.9990,0.0,67.4
500224,mppi,1,0.9337,0.9990,0.0,66.33333333333333
