step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.6384,4.7,1000.0
50176,mppi,1,0.0000,0.9298,0.6,1000.0
100096,pi,1,0.0000,0.9156,0.8,1000.0
100096,mppi,1,0.0000,0.9911,0.9,1000.0
150016,pi,1,0.0000,0.9561,0.2,1000.0
150016,mppi,1,0.0000,0.9722,1.0,1000.0
200192,pi,1,0.0000,0.6505,2.0,1000.0
200192,mppi,1,0.0000,0.8776,1.2,1000.0
250112,pi,1,0.0000,0.6799,5.8,1000.0
250112,mppi,1,0.0046,0.5652,2.3,738.9
300032,pi,1,0.0024,0.8272,8.7,729.3
300032,mppi,1,0.0000,0.7908,11.6,1000.0
350208,pi,1,0.0009,0.9977,0.0,910.3
350208,mppi,1,0.0128,0.9981,0.0,623.3
400128,pi,1,0.0000,0.2477,20.1,1000.0
400128,mppi,1,0.0000,0.8641,10.9,1000.0
450048,pi,1,0.8791,0.9990,0.0,92.5
450048,mppi,1,0.8929,0.9981,0.4,101.8
500224,pi,1,0.8882,0.9990,0.0,77.4
500224,mppi,1,0.8731,0.9981,0.0,78.6
