step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0018,0.25,1000.0
500224,pi,1,0.0024,0.0060,0.4,807.6
500224,mppi,1,0.0004,0.0034,0.125,878.875
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0000,0.0,1000.0
500224,pi,1,0.0020,0.0070,0.2,806.4
500224,mppi,1,0.0003,0.0044,0.125,880.25
750080,pi,1,0.0000,0.0000,0.0,1000.0
750080,mppi,1,0.0000,0.0000,0.0,1000.0
1000192,pi,1,0.0008,0.0056,0.2,813.0
1000192,mppi,1,0.0000,0.0000,0.0,1000.0
1250048,pi,1,0.0000,0.0000,0.0,1000.0
1250048,mppi,1,0.0000,0.0000,0.0,1000.0
1500160,pi,1,0.0000,0.0000,0.0,1000.0
1500160,mppi,1,0.0004,0.0004,0.125,876.75
1750016,pi,1,0.0000,0.0000,0.0,1000.0
1750016,mppi,1,0.0010,0.0261,0.625,906.875
2000128,pi,1,0.0010,0.0022,0.4,802.8
2000128,mppi,1,0.0034,0.0056,0.25,754.5
2250240,pi,1,0.0008,0.0162,0.4,805.2
2250240,mppi,1,0.0013,0.0069,0.125,886.125
2500096,pi,1,0.0002,0.0078,0.2,809.6
2500096,mppi,1,0.0015,0.0041,0.125,878.75
2750208,pi,1,0.0000,0.0000,0.0,1000.0
2750208,mppi,1,0.0015,0.0064,0.125,884.75
3000064,pi,1,0.0030,0.0034,0.2,802.6
3000064,mppi,1,0.0031,0.0124,2.875,752.875
3250176,pi,1,0.0038,0.0092,0.6,614.0
3250176,mppi,1,0.0025,0.0201,0.625,773.75
3500032,pi,1,0.0006,0.0100,0.2,815.4
3500032,mppi,1,0.0020,0.0099,0.25,760.625
3750144,pi,1,0.0026,0.0092,0.2,812.6
3750144,mppi,1,0.0021,0.0071,0.375,760.5
4000000,pi,1,0.0050,0.0094,0.6,611.0
4000000,mppi,1,0.0040,0.0091,0.25,759.875
4250112,pi,1,0.0026,0.0028,0.2,802.2
4250112,mppi,1,0.0031,0.0060,0.25,757.875
4500224,pi,1,0.0028,0.0068,0.4,608.4
4500224,mppi,1,0.0031,0.0088,0.25,758.5
4750080,pi,1,0.0092,0.0252,1.0,422.8
4750080,mppi,1,0.0000,0.0135,2.5,1000.0
5000192,pi,1,0.0000,0.0000,0.0,1000.0
5000192,mppi,1,0.0016,0.0019,0.375,753.0
5250048,pi,1,0.0026,0.0090,0.2,808.0
5250048,mppi,1,0.0046,0.0101,0.25,758.25
5500160,pi,1,0.0006,0.0014,0.2,803.0
5500160,mppi,1,0.0083,0.0149,0.625,637.75
5750016,pi,1,0.0012,0.0068,0.2,807.6
5750016,mppi,1,0.0094,0.0236,0.75,404.375
6000128,pi,1,0.0000,0.0000,0.0,1000.0
6000128,mppi,1,0.0114,0.0186,0.875,529.0
6250240,pi,1,0.0000,0.0000,0.0,1000.0
6250240,mppi,1,0.0000,0.0053,0.375,1000.0
6500096,pi,1,0.0000,0.0000,0.0,1000.0
6500096,mppi,1,0.0079,0.1100,2.5,910.0
6750208,pi,1,0.0044,0.0060,0.6,607.0
6750208,mppi,1,0.0000,0.1301,31.0,1000.0
7000064,pi,1,0.0088,0.0182,0.4,808.0
7000064,mppi,1,0.0188,0.0556,2.0,662.375
7250176,pi,1,0.0000,0.0058,0.2,1000.0
7250176,mppi,1,0.0000,0.0000,0.0,1000.0
7500032,pi,1,0.0208,0.0426,1.4,622.0
7500032,mppi,1,0.0151,0.0371,1.25,764.125
7750144,pi,1,0.0084,0.1142,3.8,606.2
7750144,mppi,1,0.0269,0.1780,8.75,668.125
8000000,pi,1,0.0796,0.1586,3.6,604.8
8000000,mppi,1,0.1539,0.3445,6.375,519.875
8250112,pi,1,0.1192,0.2268,6.0,436.4
8250112,mppi,1,0.1134,0.2328,2.75,656.5
8500224,pi,1,0.0828,0.1626,3.6,615.0
8500224,mppi,1,0.2605,0.5964,1.625,284.625
