step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,3,3.3,0.0,-3.3,pi,3.3,25.0
500224,3,189.3,173.2,-16.1,pi,189.3,25.0
750080,3,266.0,256.2,-9.8,pi,266.0,25.0
1000192,3,310.3,318.4,8.1,pi,310.3,25.0
1250048,3,318.0,336.2,18.2,pi,318.0,25.0
1500160,3,307.7,327.2,19.5,pi,307.7,25.0
1750016,3,314.8,328.7,13.8,pi,314.8,25.0
2000128,3,260.1,338.4,78.3,mppi,338.4,25.0
2250240,3,332.8,343.3,10.5,pi,332.8,25.0
2500096,3,323.2,349.1,25.9,mppi,349.1,25.0
2750208,3,335.3,351.1,15.9,pi,335.3,25.0
3000064,3,330.4,347.2,16.8,pi,330.4,25.0
3250176,3,337.5,341.0,3.5,pi,337.5,25.0
3500032,3,333.9,344.3,10.4,pi,333.9,25.0
3750144,3,338.0,350.1,12.0,pi,338.0,25.0
4000000,3,344.6,354.4,9.7,pi,344.6,25.0
4250112,3,332.2,342.3,10.1,pi,332.2,25.0
4500224,3,341.3,351.7,10.4,pi,341.3,25.0
4750080,3,339.2,333.7,-5.6,pi,339.2,25.0
5000192,3,343.8,345.7,1.9,pi,343.8,25.0
5250048,3,336.2,346.6,10.4,pi,336.2,25.0
5500160,3,342.9,346.5,3.6,pi,342.9,25.0
5750016,3,344.7,349.0,4.3,pi,344.7,25.0
6000128,3,335.0,346.7,11.7,pi,335.0,25.0
6250240,3,336.1,346.8,10.7,pi,336.1,25.0
6500096,3,340.1,346.8,6.6,pi,340.1,25.0
6750208,3,340.3,352.8,12.6,pi,340.3,25.0
7000064,3,343.0,308.4,-34.6,pi,343.0,25.0
