step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0000,0.0186,0.6,1000.0
250112,mppi,3,0.0000,0.0000,0.0,1000.0
500224,pi,3,0.1358,0.4618,13.8,70.8
500224,mppi,3,0.1625,0.3792,11.875,181.25
750080,pi,3,0.3480,0.4800,12.4,60.2
750080,mppi,3,0.3107,0.4274,11.375,75.125
1000192,pi,3,0.3830,0.5414,16.4,49.6
1000192,mppi,3,0.3828,0.5004,13.5,49.25
1250048,pi,3,0.3800,0.5216,12.4,48.0
1250048,mppi,3,0.3849,0.5321,13.375,47.625
1500160,pi,3,0.3952,0.5678,12.0,56.6
1500160,mppi,3,0.4128,0.5786,12.0,47.125
1750016,pi,3,0.3982,0.5600,12.6,49.2
1750016,mppi,3,0.3992,0.5746,13.125,37.625
2000128,pi,3,0.3296,0.4484,9.8,243.0
2000128,mppi,3,0.4250,0.5715,13.0,46.625
2250240,pi,3,0.4050,0.5524,12.8,53.8
2250240,mppi,3,0.4047,0.5494,13.125,49.125
2500096,pi,3,0.4084,0.5410,12.0,48.0
2500096,mppi,3,0.4285,0.5824,13.0,36.875
2750208,pi,3,0.4172,0.5620,13.2,41.6
2750208,mppi,3,0.4022,0.5477,13.75,45.5
3000064,pi,3,0.4088,0.5628,13.0,54.2
3000064,mppi,3,0.4285,0.5925,12.125,49.5
3250176,pi,3,0.4186,0.5816,13.2,43.0
3250176,mppi,3,0.3987,0.5633,13.25,48.5
3500032,pi,3,0.4130,0.5678,13.0,55.8
3500032,mppi,3,0.4133,0.5707,13.0,52.0
3750144,pi,3,0.4084,0.5420,13.0,55.4
3750144,mppi,3,0.4285,0.5809,12.875,49.5
4000000,pi,3,0.4250,0.5676,12.6,52.4
4000000,mppi,3,0.4455,0.5958,12.5,51.75
4250112,pi,3,0.4270,0.5858,12.2,45.8
4250112,mppi,3,0.4452,0.6002,12.375,44.0
4500224,pi,3,0.4302,0.5956,12.4,42.4
4500224,mppi,3,0.4131,0.5691,13.0,42.375
4750080,pi,3,0.4262,0.6016,12.4,35.4
4750080,mppi,3,0.4024,0.5679,12.375,46.25
5000192,pi,3,0.4246,0.5886,12.8,51.6
5000192,mppi,3,0.4065,0.5810,13.25,39.625
5250048,pi,3,0.4232,0.5770,12.2,54.2
5250048,mppi,3,0.4099,0.5746,13.25,45.875
5500160,pi,3,0.4220,0.5652,13.6,54.2
5500160,mppi,3,0.4133,0.5540,13.0,48.625
5750016,pi,3,0.4282,0.5734,13.0,50.0
5750016,mppi,3,0.4375,0.5819,13.0,49.5
6000128,pi,3,0.4224,0.5764,12.4,54.0
6000128,mppi,3,0.4254,0.5700,13.0,50.625
6250240,pi,3,0.4248,0.5946,12.2,49.4
6250240,mppi,3,0.4270,0.5724,13.0,49.5
6500096,pi,3,0.4166,0.5726,12.6,42.8
6500096,mppi,3,0.4289,0.5784,12.75,49.75
6750208,pi,3,0.4156,0.5544,13.4,42.8
6750208,mppi,3,0.4165,0.5681,13.625,37.875
7000064,pi,3,0.4260,0.5766,12.6,41.2
7000064,mppi,3,0.3644,0.5010,11.375,157.25
