step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0046,0.0140,0.4,635.4
250112,mppi,1,0.0064,0.0256,0.75,311.0
500224,pi,1,0.0000,0.0000,0.0,1000.0
500224,mppi,1,0.0039,0.0043,0.125,883.125
750080,pi,1,0.3794,0.3870,14.2,47.8
750080,mppi,1,0.3723,0.3783,14.0,53.625
1000192,pi,1,0.3928,0.4040,14.0,49.0
1000192,mppi,1,0.3815,0.3895,13.875,61.625
1250048,pi,1,0.3912,0.4062,13.8,53.8
1250048,mppi,1,0.4020,0.4200,13.75,50.875
1500160,pi,1,0.4008,0.4118,14.2,51.8
1500160,mppi,1,0.3814,0.3840,14.0,48.625
1750016,pi,1,0.3752,0.3788,14.0,50.0
1750016,mppi,1,0.3871,0.3881,14.25,52.625
2000128,pi,1,0.4232,0.4416,14.2,46.0
2000128,mppi,1,0.4133,0.4295,14.125,42.125
2250240,pi,1,0.4306,0.4556,13.4,47.6
2250240,mppi,1,0.4123,0.4191,14.0,47.25
2500096,pi,1,0.3994,0.4108,14.2,45.4
2500096,mppi,1,0.4078,0.4167,14.125,47.625
2750208,pi,1,0.4098,0.4240,14.0,54.2
2750208,mppi,1,0.4094,0.4280,14.0,49.375
3000064,pi,1,0.3988,0.4106,14.0,50.0
3000064,mppi,1,0.4214,0.4301,14.125,34.375
3250176,pi,1,0.4090,0.4236,14.0,42.4
3250176,mppi,1,0.4155,0.4230,14.125,43.125
3500032,pi,1,0.4138,0.4236,14.0,45.6
3500032,mppi,1,0.4144,0.4243,14.25,41.75
3750144,pi,1,0.4062,0.4196,14.0,50.8
3750144,mppi,1,0.4174,0.4270,14.0,41.375
4000000,pi,1,0.4146,0.4316,13.8,51.6
4000000,mppi,1,0.4194,0.4327,14.125,39.125
4250112,pi,1,0.4126,0.4280,13.8,44.6
4250112,mppi,1,0.4008,0.4109,13.125,50.5
4500224,pi,1,0.4096,0.4254,14.0,36.4
4500224,mppi,1,0.3794,0.3868,13.125,43.125
4750080,pi,1,0.4100,0.4212,14.0,48.4
4750080,mppi,1,0.3900,0.3952,13.0,43.875
5000192,pi,1,0.4132,0.4296,14.0,49.2
5000192,mppi,1,0.3780,0.3814,13.0,43.25
5250048,pi,1,0.4130,0.4316,14.2,43.4
5250048,mppi,1,0.3786,0.3859,13.125,44.625
5500160,pi,1,0.3250,0.3384,11.2,237.4
5500160,mppi,1,0.3794,0.3860,13.0,40.5
5750016,pi,1,0.4130,0.4290,14.0,44.0
5750016,mppi,1,0.3252,0.3314,11.375,161.125
6000128,pi,1,0.4044,0.4176,13.8,50.8
6000128,mppi,1,0.3739,0.3775,13.0,41.0
