step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.1,mppi,1
500224,4.6,pi,1
500224,1.0,mppi,1
750080,0.0,pi,1
750080,0.0,mppi,1
1000192,2.1,pi,1
1000192,0.0,mppi,1
1250048,25.7,pi,1
1250048,75.0,mppi,1
1500160,72.4,pi,1
1500160,109.9,mppi,1
1750016,39.9,pi,1
1750016,137.2,mppi,1
2000128,156.8,pi,1
2000128,109.4,mppi,1
2250240,130.7,pi,1
2250240,163.2,mppi,1
2500096,45.6,pi,1
2500096,142.6,mppi,1
2750208,133.6,pi,1
2750208,190.6,mppi,1
3000064,90.8,pi,1
3000064,169.1,mppi,1
3250176,180.7,pi,1
3250176,165.0,mppi,1
3500032,102.7,pi,1
3500032,131.6,mppi,1
3750144,142.4,pi,1
3750144,163.4,mppi,1
4000000,145.4,pi,1
4000000,198.4,mppi,1
4250112,101.8,pi,1
4250112,204.7,mppi,1
4500224,150.0,pi,1
4500224,201.1,mppi,1
4750080,208.8,pi,1
4750080,176.6,mppi,1
5000192,99.8,pi,1
5000192,203.1,mppi,1
5250048,153.4,pi,1
5250048,204.3,mppi,1
5500160,98.2,pi,1
5500160,198.5,mppi,1
5750016,153.3,pi,1
5750016,234.0,mppi,1
6000128,204.2,pi,1
6000128,244.6,mppi,1
6250240,152.2,pi,1
6250240,168.4,mppi,1
6500096,103.4,pi,1
6500096,135.7,mppi,1
6750208,158.9,pi,1
6750208,209.5,mppi,1
7000064,156.2,pi,1
7000064,237.6,mppi,1
7250176,154.6,pi,1
7250176,101.5,mppi,1
7500032,158.2,pi,1
7500032,170.5,mppi,1
7750144,105.4,pi,1
7750144,139.5,mppi,1
8000000,153.2,pi,1
8000000,243.2,mppi,1
8250112,214.0,pi,1
8250112,175.5,mppi,1
8500224,258.7,pi,1
8500224,284.1,mppi,1
8750080,260.8,pi,1
8750080,272.6,mppi,1
9000192,253.2,pi,1
9000192,267.2,mppi,1
9250048,257.0,pi,1
9250048,274.6,mppi,1
9500160,263.5,pi,1
9500160,288.6,mppi,1
9750016,262.1,pi,1
9750016,277.9,mppi,1
10000128,210.0,pi,1
10000128,273.1,mppi,1
