step,reward,eval_type,seed
250112,22.3,pi,2
250112,37.4,mppi,2
500224,2.8,pi,2
500224,1.2,mppi,2
750080,144.9,pi,2
750080,61.8,mppi,2
1000192,164.5,pi,2
1000192,148.6,mppi,2
1250048,114.6,pi,2
1250048,107.3,mppi,2
1500160,116.0,pi,2
1500160,147.0,mppi,2
1750016,113.0,pi,2
1750016,184.6,mppi,2
2000128,177.3,pi,2
2000128,219.0,mppi,2
2250240,174.5,pi,2
2250240,185.5,mppi,2
2500096,114.6,pi,2
2500096,185.8,mppi,2
2750208,229.6,pi,2
2750208,211.1,mppi,2
3000064,233.0,pi,2
3000064,187.2,mppi,2
3250176,233.4,pi,2
3250176,149.7,mppi,2
3500032,231.3,pi,2
3500032,257.5,mppi,2
3750144,175.0,pi,2
3750144,110.8,mppi,2
4000000,174.2,pi,2
4000000,149.3,mppi,2
4250112,231.7,pi,2
4250112,188.3,mppi,2
4500224,235.9,pi,2
4500224,112.9,mppi,2
4750080,175.4,pi,2
4750080,74.3,mppi,2
5000192,105.9,pi,2
5000192,109.4,mppi,2
5250048,171.9,pi,2
5250048,133.9,mppi,2
5500160,104.3,pi,2
5500160,148.5,mppi,2
5750016,59.3,pi,2
5750016,149.8,mppi,2
6000128,236.5,pi,2
6000128,150.4,mppi,2
6250240,233.2,pi,2
6250240,226.6,mppi,2
6500096,119.6,pi,2
6500096,76.4,mppi,2
