step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,8,0.0000,0.0000,0.0,1000.0
250112,mppi,8,0.0000,0.0000,0.0,1000.0
500224,pi,8,0.0000,0.0000,0.0,1000.0
500224,mppi,8,0.0000,0.0000,0.0,1000.0
750080,pi,8,0.0982,0.1612,10.6,626.6
750080,mppi,8,0.1527,0.3346,18.0,301.375
1000192,pi,8,0.2048,0.3344,23.2,223.6
1000192,mppi,8,0.0570,0.1358,5.0,767.625
1250048,pi,8,0.0850,0.3028,8.8,429.6
1250048,mppi,8,0.0706,0.3667,8.375,415.625
1500160,pi,8,0.1690,0.2862,10.2,427.6
1500160,mppi,8,0.1321,0.2634,6.875,518.625
1750016,pi,8,0.0516,0.1042,2.8,812.2
1750016,mppi,8,0.1266,0.2661,6.75,521.875
2000128,pi,8,0.2180,0.4390,10.4,234.0
2000128,mppi,8,0.0970,0.2003,5.0,643.25
