step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0198,0.0406,2.0,817.8
250112,mppi,2,0.0179,0.0574,2.75,781.125
500224,pi,2,0.0700,0.1798,6.8,429.8
500224,mppi,2,0.0375,0.0825,4.375,658.5
750080,pi,2,0.1044,0.2288,8.8,418.2
750080,mppi,2,0.0442,0.0944,3.625,767.0
1000192,pi,2,0.1212,0.2458,8.6,428.6
1000192,mppi,2,0.1194,0.2497,8.75,420.0
1250048,pi,2,0.1956,0.4396,13.2,72.4
1250048,mppi,2,0.1575,0.4420,12.5,88.0
1500160,pi,2,0.0702,0.1004,4.2,624.8
1500160,mppi,2,0.1033,0.1630,6.75,524.375
1750016,pi,2,0.2262,0.3730,14.6,76.6
1750016,mppi,2,0.2309,0.3880,14.75,64.375
2000128,pi,2,0.2286,0.3940,14.6,85.4
2000128,mppi,2,0.2289,0.3990,14.75,68.75
