step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0000,0.0004,0.25,1000.0
500224,pi,2,0.0010,0.0096,0.6,804.0
500224,mppi,2,0.0000,0.0024,0.125,1000.0
750080,pi,2,0.0026,0.0068,0.8,607.0
750080,mppi,2,0.0000,0.0000,0.0,1000.0
1000192,pi,2,0.0004,0.0022,0.2,803.8
1000192,mppi,2,0.0023,0.0107,0.5,756.625
1250048,pi,2,0.0018,0.0054,0.2,805.4
1250048,mppi,2,0.0006,0.0051,0.375,756.0
1500160,pi,2,0.0022,0.0080,0.4,819.2
1500160,mppi,2,0.0015,0.0118,0.25,765.125
1750016,pi,2,0.0000,0.0000,0.0,1000.0
1750016,mppi,2,0.0405,0.2617,5.125,429.875
2000128,pi,2,0.0092,0.0286,0.8,294.6
2000128,mppi,2,0.0077,0.0164,0.875,293.875
