step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.2,mppi,1
500224,0.1,pi,1
500224,1.2,mppi,1
750080,0.0,pi,1
750080,0.0,mppi,1
1000192,0.2,pi,1
1000192,0.0,mppi,1
1250048,30.8,pi,1
1250048,71.0,mppi,1
1500160,2.9,pi,1
1500160,20.3,mppi,1
1750016,38.5,pi,1
1750016,78.3,mppi,1
2000128,172.4,pi,1
2000128,147.0,mppi,1
2250240,144.4,pi,1
2250240,122.3,mppi,1
2500096,48.7,pi,1
2500096,159.3,mppi,1
2750208,150.1,pi,1
2750208,193.8,mppi,1
3000064,97.8,pi,1
3000064,171.6,mppi,1
3250176,248.4,pi,1
3250176,250.4,mppi,1
3500032,93.5,pi,1
3500032,154.3,mppi,1
3750144,250.1,pi,1
3750144,265.6,mppi,1
4000000,254.9,pi,1
4000000,257.1,mppi,1
4250112,249.6,pi,1
4250112,264.3,mppi,1
4500224,253.2,pi,1
4500224,266.4,mppi,1
4750080,251.6,pi,1
4750080,266.6,mppi,1
5000192,253.1,pi,1
5000192,270.5,mppi,1
5250048,246.5,pi,1
5250048,271.9,mppi,1
5500160,201.9,pi,1
5500160,259.4,mppi,1
5750016,249.7,pi,1
5750016,232.1,mppi,1
6000128,250.5,pi,1
6000128,272.6,mppi,1
6250240,252.2,pi,1
6250240,275.7,mppi,1
6500096,249.1,pi,1
6500096,291.8,mppi,1
6750208,251.5,pi,1
6750208,269.4,mppi,1
7000064,253.2,pi,1
7000064,231.8,mppi,1
7250176,248.1,pi,1
7250176,277.8,mppi,1
7500032,258.7,pi,1
7500032,266.5,mppi,1
7750144,268.7,pi,1
7750144,293.3,mppi,1
8000000,256.7,pi,1
8000000,277.7,mppi,1
8250112,258.6,pi,1
8250112,290.1,mppi,1
8500224,257.7,pi,1
8500224,287.6,mppi,1
8750080,264.7,pi,1
8750080,287.4,mppi,1
9000192,258.1,pi,1
9000192,277.1,mppi,1
9250048,262.8,pi,1
9250048,284.0,mppi,1
9500160,255.2,pi,1
9500160,270.7,mppi,1
9750016,269.0,pi,1
9750016,291.7,mppi,1
10000128,211.8,pi,1
10000128,280.7,mppi,1
