step,reward,eval_type,seed
250112,0.0,pi,2
250112,1.1,mppi,2
500224,4.4,pi,2
500224,0.8,mppi,2
750080,5.9,pi,2
750080,0.0,mppi,2
1000192,3.5,pi,2
1000192,2.3,mppi,2
1250048,5.5,pi,2
1250048,32.3,mppi,2
1500160,65.1,pi,2
1500160,48.9,mppi,2
1750016,43.2,pi,2
1750016,77.7,mppi,2
2000128,2.6,pi,2
2000128,8.8,mppi,2
2250240,1.3,pi,2
2250240,5.6,mppi,2
2500096,3.3,pi,2
2500096,7.0,mppi,2
2750208,211.8,pi,2
2750208,186.4,mppi,2
3000064,198.6,pi,2
3000064,189.6,mppi,2
3250176,198.9,pi,2
3250176,158.4,mppi,2
3500032,194.0,pi,2
3500032,217.6,mppi,2
3750144,139.2,pi,2
3750144,67.0,mppi,2
4000000,149.2,pi,2
4000000,135.5,mppi,2
4250112,198.9,pi,2
4250112,165.8,mppi,2
4500224,216.4,pi,2
4500224,105.0,mppi,2
4750080,97.3,pi,2
4750080,62.8,mppi,2
5000192,99.5,pi,2
5000192,101.5,mppi,2
5250048,152.2,pi,2
5250048,143.2,mppi,2
5500160,122.7,pi,2
5500160,172.6,mppi,2
5750016,67.5,pi,2
5750016,171.8,mppi,2
6000128,276.1,pi,2
6000128,177.4,mppi,2
6250240,267.6,pi,2
6250240,247.6,mppi,2
6500096,138.2,pi,2
6500096,90.1,mppi,2
6750208,205.2,pi,2
6750208,172.1,mppi,2
7000064,213.7,pi,2
7000064,142.8,mppi,2
7250176,285.6,pi,2
7250176,187.5,mppi,2
7500032,210.7,pi,2
7500032,181.6,mppi,2
