step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0003,0.0056,0.5,883.25
500224,pi,2,0.0024,0.0132,0.4,614.6
500224,mppi,2,0.0004,0.0021,0.25,878.125
750080,pi,2,0.0032,0.0238,2.4,607.6
750080,mppi,2,0.0000,0.0000,0.0,1000.0
1000192,pi,2,0.0028,0.0096,0.4,610.6
1000192,mppi,2,0.0026,0.0054,0.25,755.375
1250048,pi,2,0.0022,0.0160,0.6,805.0
1250048,mppi,2,0.0038,0.1124,4.125,640.375
1500160,pi,2,0.0788,0.1430,4.0,627.8
1500160,mppi,2,0.0504,0.1141,3.375,540.875
1750016,pi,2,0.0406,0.0976,2.4,803.0
1750016,mppi,2,0.0936,0.1345,3.625,643.0
2000128,pi,2,0.0036,0.0060,0.2,811.8
2000128,mppi,2,0.0096,0.0175,0.5,529.75
2250240,pi,2,0.0022,0.0024,0.2,802.0
2250240,mppi,2,0.0065,0.0115,0.375,636.375
2500096,pi,2,0.0028,0.0080,0.2,812.8
2500096,mppi,2,0.0080,0.0119,0.375,637.0
2750208,pi,2,0.2808,0.3208,9.0,251.6
2750208,mppi,2,0.2259,0.3055,9.0,294.875
3000064,pi,2,0.2400,0.2992,9.8,225.4
3000064,mppi,2,0.2015,0.3251,10.375,290.625
3250176,pi,2,0.2330,0.3092,16.0,237.4
3250176,mppi,2,0.1686,0.2694,19.125,414.25
3500032,pi,2,0.2236,0.3032,12.8,244.6
3500032,mppi,2,0.2311,0.3762,13.125,170.125
3750144,pi,2,0.1536,0.2338,9.4,437.0
3750144,mppi,2,0.0694,0.1145,4.25,761.625
4000000,pi,2,0.1844,0.2490,8.2,433.6
4000000,mppi,2,0.1495,0.2399,10.125,527.125
4250112,pi,2,0.2286,0.3402,14.4,246.4
4250112,mppi,2,0.1876,0.2696,9.875,412.75
4500224,pi,2,0.2532,0.3350,11.6,241.0
4500224,mppi,2,0.1266,0.1626,5.375,646.25
4750080,pi,2,0.1090,0.1726,7.2,623.6
4750080,mppi,2,0.0653,0.1129,4.0,766.875
5000192,pi,2,0.1158,0.1792,8.0,623.6
5000192,mppi,2,0.1087,0.1782,8.0,647.5
5250048,pi,2,0.1880,0.2656,8.4,419.2
5250048,mppi,2,0.1694,0.2304,6.5,528.0
5500160,pi,2,0.1486,0.1880,4.0,653.6
5500160,mppi,2,0.2055,0.2602,5.375,525.375
5750016,pi,2,0.0786,0.1062,2.0,808.2
5750016,mppi,2,0.2002,0.2595,5.125,518.375
6000128,pi,2,0.3512,0.4010,8.2,242.0
6000128,mppi,2,0.2124,0.2655,4.75,530.125
6250240,pi,2,0.3298,0.3944,8.2,246.6
6250240,mppi,2,0.2750,0.3755,7.75,280.375
6500096,pi,2,0.1628,0.2168,4.0,613.4
6500096,mppi,2,0.1025,0.1320,2.5,765.125
6750208,pi,2,0.2516,0.3124,6.0,432.6
6750208,mppi,2,0.1890,0.2621,5.25,524.25
7000064,pi,2,0.2516,0.3604,4.8,427.0
7000064,mppi,2,0.1633,0.2154,3.5,641.25
7250176,pi,2,0.3246,0.4346,7.4,242.2
7250176,mppi,2,0.2106,0.2821,4.625,526.0
7500032,pi,2,0.2276,0.3422,5.2,434.6
7500032,mppi,2,0.2007,0.2985,3.75,522.875
