step,reward,eval_type,seed
250112,0.5,pi,7
250112,1.3,mppi,7
500224,4.3,pi,7
500224,1.7,mppi,7
750080,0.0,pi,7
750080,2.3,mppi,7
1000192,1.9,pi,7
1000192,2.0,mppi,7
1250048,0.0,pi,7
1250048,2.8,mppi,7
1500160,1.9,pi,7
1500160,1.7,mppi,7
1750016,194.3,pi,7
1750016,230.9,mppi,7
2000128,163.7,pi,7
2000128,106.3,mppi,7
2250240,273.8,pi,7
2250240,300.5,mppi,7
2500096,275.5,pi,7
2500096,291.3,mppi,7
2750208,275.8,pi,7
2750208,293.9,mppi,7
3000064,285.2,pi,7
3000064,289.3,mppi,7
3250176,277.0,pi,7
3250176,293.8,mppi,7
3500032,281.1,pi,7
3500032,226.4,mppi,7
3750144,277.7,pi,7
3750144,297.8,mppi,7
4000000,289.4,pi,7
4000000,297.7,mppi,7
4250112,281.1,pi,7
4250112,302.8,mppi,7
4500224,280.1,pi,7
4500224,271.8,mppi,7
4750080,280.7,pi,7
4750080,289.8,mppi,7
5000192,288.9,pi,7
5000192,302.3,mppi,7
5250048,307.7,pi,7
5250048,316.4,mppi,7
5500160,297.4,pi,7
5500160,308.4,mppi,7
5750016,302.1,pi,7
5750016,310.8,mppi,7
6000128,251.9,pi,7
6000128,276.3,mppi,7
6250240,310.6,pi,7
6250240,309.7,mppi,7
6500096,305.9,pi,7
6500096,314.0,mppi,7
6750208,305.8,pi,7
6750208,322.4,mppi,7
7000064,299.6,pi,7
7000064,323.0,mppi,7
7250176,313.0,pi,7
7250176,326.8,mppi,7
7500032,313.8,pi,7
7500032,320.9,mppi,7
7750144,317.5,pi,7
7750144,333.3,mppi,7
8000000,318.4,pi,7
8000000,334.0,mppi,7
8250112,320.2,pi,7
8250112,323.8,mppi,7
8500224,324.6,pi,7
8500224,328.6,mppi,7
8750080,320.8,pi,7
8750080,335.1,mppi,7
9000192,326.3,pi,7
9000192,334.7,mppi,7
9250048,325.9,pi,7
9250048,334.9,mppi,7
9500160,313.5,pi,7
9500160,341.1,mppi,7
9750016,322.4,pi,7
9750016,335.0,mppi,7
10000128,326.6,pi,7
10000128,340.0,mppi,7
