step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0010,0.0070,0.2,818.2
250112,mppi,1,0.0018,0.0056,0.125,884.75
500224,pi,1,0.3310,0.3992,12.8,97.8
500224,mppi,1,0.3575,0.4641,12.25,70.75
750080,pi,1,0.3874,0.4604,11.8,57.4
750080,mppi,1,0.3806,0.4809,12.0,62.125
1000192,pi,1,0.3592,0.4816,12.2,65.2
1000192,mppi,1,0.4190,0.5052,11.875,69.5
1250048,pi,1,0.4138,0.4824,12.2,67.6
1250048,mppi,1,0.4295,0.4862,12.0,55.75
1500160,pi,1,0.3394,0.4998,12.0,66.8
1500160,mppi,1,0.4291,0.4931,12.0,57.875
1750016,pi,1,0.4084,0.4838,12.0,49.6
1750016,mppi,1,0.4308,0.4735,12.0,63.375
2000128,pi,1,0.3770,0.4852,12.4,60.0
2000128,mppi,1,0.4357,0.5086,12.25,42.75
2250240,pi,1,0.3612,0.5092,12.2,49.0
2250240,mppi,1,0.4422,0.4924,11.875,59.5
2500096,pi,1,0.3534,0.5160,11.8,42.4
2500096,mppi,1,0.4434,0.5090,12.125,46.75
2750208,pi,1,0.3962,0.4856,12.0,62.0
2750208,mppi,1,0.4416,0.4844,13.0,52.5
3000064,pi,1,0.4170,0.4918,12.0,47.6
3000064,mppi,1,0.4347,0.4814,13.0,39.375
3250176,pi,1,0.3910,0.5056,12.0,45.6
3250176,mppi,1,0.4453,0.4955,12.625,44.625
3500032,pi,1,0.3786,0.5068,12.0,59.8
3500032,mppi,1,0.4425,0.4975,12.375,44.0
3750144,pi,1,0.3600,0.5008,12.0,47.0
3750144,mppi,1,0.4367,0.4885,12.125,50.625
4000000,pi,1,0.3658,0.5032,12.0,51.8
4000000,mppi,1,0.4369,0.4810,13.0,42.875
4250112,pi,1,0.4194,0.4846,12.0,47.0
4250112,mppi,1,0.4338,0.4809,12.125,58.875
4500224,pi,1,0.4270,0.4878,12.2,36.0
4500224,mppi,1,0.4366,0.4943,12.25,46.375
4750080,pi,1,0.4108,0.4872,12.2,51.2
4750080,mppi,1,0.4267,0.4774,12.125,45.125
5000192,pi,1,0.3978,0.4902,12.0,64.4
5000192,mppi,1,0.4435,0.4986,12.375,45.625
5250048,pi,1,0.3984,0.4982,12.2,43.6
5250048,mppi,1,0.4409,0.4898,12.25,43.625
5500160,pi,1,0.3178,0.3928,9.6,238.8
5500160,mppi,1,0.4431,0.4931,12.75,43.0
5750016,pi,1,0.4184,0.4976,12.0,49.2
5750016,mppi,1,0.3906,0.4425,10.75,157.25
6000128,pi,1,0.4172,0.4848,12.8,53.4
6000128,mppi,1,0.4443,0.4881,12.875,42.875
