step,reward,eval_type,seed
250112,0.0,pi,2
250112,6.0,mppi,2
500224,63.4,pi,2
500224,49.3,mppi,2
750080,220.8,pi,2
750080,225.2,mppi,2
1000192,246.0,pi,2
1000192,243.3,mppi,2
1250048,249.4,pi,2
1250048,242.0,mppi,2
1500160,252.8,pi,2
1500160,209.2,mppi,2
1750016,249.2,pi,2
1750016,249.6,mppi,2
2000128,243.2,pi,2
2000128,242.2,mppi,2
2250240,264.4,pi,2
2250240,238.8,mppi,2
2500096,254.9,pi,2
2500096,240.0,mppi,2
2750208,205.5,pi,2
2750208,231.4,mppi,2
3000064,267.6,pi,2
3000064,233.9,mppi,2
3250176,259.1,pi,2
3250176,235.7,mppi,2
3500032,253.1,pi,2
3500032,235.6,mppi,2
3750144,258.9,pi,2
3750144,233.7,mppi,2
4000000,267.5,pi,2
4000000,226.3,mppi,2
4250112,257.2,pi,2
4250112,237.7,mppi,2
4500224,264.1,pi,2
4500224,236.9,mppi,2
4750080,265.1,pi,2
4750080,220.0,mppi,2
