step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0090,0.0544,1.8,816.4
250112,mppi,1,0.0489,0.0984,4.5,648.75
500224,pi,1,0.2250,0.3062,9.6,260.8
500224,mppi,1,0.2045,0.3100,23.875,72.25
750080,pi,1,0.3450,0.5614,9.4,66.0
750080,mppi,1,0.3821,0.5428,10.875,62.375
1000192,pi,1,0.4012,0.5242,11.2,64.6
1000192,mppi,1,0.4179,0.5470,16.0,53.0
1250048,pi,1,0.3826,0.4958,11.4,52.4
1250048,mppi,1,0.4271,0.5480,11.75,49.875
1500160,pi,1,0.3928,0.4818,12.2,54.8
1500160,mppi,1,0.4550,0.5415,11.0,51.0
1750016,pi,1,0.4276,0.6094,9.4,50.4
1750016,mppi,1,0.4405,0.6108,8.75,75.125
2000128,pi,1,0.4556,0.5026,18.2,55.8
2000128,mppi,1,0.5539,0.5780,20.625,39.75
2250240,pi,1,0.6616,0.6770,32.4,46.0
2250240,mppi,1,0.6661,0.6770,32.625,60.25
2500096,pi,1,0.6720,0.6768,33.4,47.2
2500096,mppi,1,0.6843,0.6866,33.25,49.125
2750208,pi,1,0.6806,0.6862,32.8,53.8
2750208,mppi,1,0.6752,0.6771,32.75,68.375
3000064,pi,1,0.6672,0.6716,33.6,50.8
3000064,mppi,1,0.6845,0.6871,34.5,32.625
3250176,pi,1,0.6654,0.6734,34.0,49.2
3250176,mppi,1,0.6799,0.6834,34.125,42.75
3500032,pi,1,0.6528,0.6542,34.0,47.0
3500032,mppi,1,0.6788,0.6818,34.25,43.0
3750144,pi,1,0.6662,0.6694,33.8,53.8
3750144,mppi,1,0.6784,0.6800,34.125,46.125
4000000,pi,1,0.6696,0.6712,33.8,47.8
4000000,mppi,1,0.6849,0.6874,34.125,41.25
4250112,pi,1,0.6710,0.6728,33.8,40.8
4250112,mppi,1,0.6847,0.6869,34.0,49.375
4500224,pi,1,0.6760,0.6814,34.6,39.2
4500224,mppi,1,0.6414,0.6456,32.75,46.125
4750080,pi,1,0.6764,0.6816,34.4,38.8
4750080,mppi,1,0.5066,0.5263,27.375,45.625
5000192,pi,1,0.6746,0.6770,33.0,52.0
5000192,mppi,1,0.6890,0.6905,34.125,40.625
5250048,pi,1,0.6678,0.6726,33.2,43.6
5250048,mppi,1,0.6676,0.6724,33.25,46.125
5500160,pi,1,0.5390,0.5414,27.0,237.0
5500160,mppi,1,0.6090,0.6181,31.875,39.75
5750016,pi,1,0.6680,0.6734,34.2,45.8
5750016,mppi,1,0.5990,0.6044,30.125,159.5
6000128,pi,1,0.6690,0.6726,34.0,50.4
6000128,mppi,1,0.5510,0.5649,29.875,39.125
6250240,pi,1,0.6714,0.6772,33.0,53.0
6250240,mppi,1,0.6864,0.6889,33.75,48.625
6500096,pi,1,0.6672,0.6694,34.0,47.8
6500096,mppi,1,0.6914,0.6930,34.375,43.0
6750208,pi,1,0.6706,0.6744,33.6,41.8
6750208,mppi,1,0.6770,0.6805,34.25,45.25
7000064,pi,1,0.6812,0.6846,33.6,48.0
7000064,mppi,1,0.5963,0.6009,30.25,160.0
7250176,pi,1,0.6724,0.6746,33.8,50.0
7250176,mppi,1,0.6793,0.6804,34.0,45.25
7500032,pi,1,0.6746,0.6784,34.2,44.2
7500032,mppi,1,0.6856,0.6872,34.0,50.0
7750144,pi,1,0.6796,0.6842,34.2,43.0
7750144,mppi,1,0.6990,0.7015,34.625,35.25
8000000,pi,1,0.6752,0.6802,34.0,40.4
8000000,mppi,1,0.6897,0.6970,34.25,45.25
8250112,pi,1,0.6784,0.6804,34.2,43.8
8250112,mppi,1,0.6869,0.6897,34.0,49.75
8500224,pi,1,0.6734,0.6764,34.2,43.8
8500224,mppi,1,0.6770,0.6801,33.875,38.375
8750080,pi,1,0.6682,0.6764,34.0,49.8
8750080,mppi,1,0.6901,0.6949,34.125,46.5
9000192,pi,1,0.6724,0.6770,33.0,54.4
9000192,mppi,1,0.6910,0.6954,34.125,45.875
9250048,pi,1,0.6760,0.6800,34.0,47.0
9250048,mppi,1,0.6212,0.6294,32.125,38.75
9500160,pi,1,0.6734,0.6772,33.8,50.0
9500160,mppi,1,0.6981,0.7037,34.75,40.375
9750016,pi,1,0.6670,0.6766,33.8,53.4
9750016,mppi,1,0.6939,0.6977,34.0,48.5
10000128,pi,1,0.5356,0.5536,26.8,236.0
10000128,mppi,1,0.6909,0.6927,34.125,48.0
