step,reward,eval_type,seed
250112,0.9,pi,4
250112,0.0,mppi,4
500224,0.0,pi,4
500224,2.1,mppi,4
750080,0.0,pi,4
750080,3.8,mppi,4
1000192,0.8,pi,4
1000192,4.6,mppi,4
1250048,3.0,pi,4
1250048,6.0,mppi,4
1500160,2.0,pi,4
1500160,0.0,mppi,4
1750016,2.6,pi,4
1750016,0.0,mppi,4
2000128,10.8,pi,4
2000128,4.3,mppi,4
2250240,2.3,pi,4
2250240,0.0,mppi,4
2500096,191.3,pi,4
2500096,201.8,mppi,4
2750208,3.2,pi,4
2750208,6.2,mppi,4
3000064,4.0,pi,4
3000064,5.6,mppi,4
3250176,3.3,pi,4
3250176,0.4,mppi,4
3500032,92.9,pi,4
3500032,12.6,mppi,4
3750144,5.5,pi,4
3750144,0.0,mppi,4
4000000,72.7,pi,4
4000000,109.4,mppi,4
4250112,6.0,pi,4
4250112,2.6,mppi,4
4500224,11.5,pi,4
4500224,7.5,mppi,4
4750080,10.3,pi,4
4750080,5.8,mppi,4
5000192,6.3,pi,4
5000192,4.6,mppi,4
5250048,6.0,pi,4
5250048,3.3,mppi,4
5500160,8.4,pi,4
5500160,6.3,mppi,4
5750016,9.9,pi,4
5750016,8.5,mppi,4
6000128,10.5,pi,4
6000128,9.5,mppi,4
6250240,6.3,pi,4
6250240,4.5,mppi,4
6500096,156.5,pi,4
6500096,50.8,mppi,4
6750208,7.5,pi,4
6750208,15.1,mppi,4
7000064,14.3,pi,4
7000064,5.5,mppi,4
7250176,7.3,pi,4
7250176,3.9,mppi,4
7500032,11.4,pi,4
7500032,9.6,mppi,4
7750144,8.7,pi,4
7750144,15.9,mppi,4
8000000,7.6,pi,4
8000000,14.3,mppi,4
8250112,8.9,pi,4
8250112,3.2,mppi,4
8500224,206.9,pi,4
8500224,64.4,mppi,4
8750080,186.0,pi,4
8750080,10.4,mppi,4
9000192,14.6,pi,4
9000192,15.6,mppi,4
9250048,186.1,pi,4
9250048,247.6,mppi,4
9500160,248.1,pi,4
9500160,279.2,mppi,4
9750016,241.0,pi,4
9750016,170.8,mppi,4
10000128,254.1,pi,4
10000128,259.2,mppi,4
