step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.0000,0.0036,0.2,1000.0
250112,mppi,4,0.0000,0.0000,0.0,1000.0
500224,pi,4,0.0000,0.0004,0.2,1000.0
500224,mppi,4,0.0000,0.0060,0.3333333333333333,1000.0
750080,pi,4,0.0000,0.0000,0.0,1000.0
750080,mppi,4,0.0020,0.0120,0.6666666666666666,681.3333333333334
1000192,pi,4,0.0002,0.0054,0.6,803.8
1000192,mppi,4,0.0027,0.0107,0.6666666666666666,349.0
1250048,pi,4,0.0038,0.0084,0.4,618.2
1250048,mppi,4,0.0023,0.0280,1.0,670.6666666666666
1500160,pi,4,0.0010,0.0080,0.6,805.4
1500160,mppi,4,0.0000,0.0000,0.0,1000.0
1750016,pi,4,0.0006,0.0104,0.2,811.0
1750016,mppi,4,0.0000,0.0000,0.0,1000.0
2000128,pi,4,0.0080,0.0352,0.8,253.6
2000128,mppi,4,0.0040,0.0083,0.3333333333333333,674.0
2250240,pi,4,0.0008,0.0108,0.6,804.2
2250240,mppi,4,0.0000,0.0000,0.0,1000.0
2500096,pi,4,0.2464,0.3566,19.4,60.0
2500096,mppi,4,0.2477,0.3370,18.333333333333332,39.0
2750208,pi,4,0.0020,0.0124,0.2,824.4
2750208,mppi,4,0.0030,0.0147,0.3333333333333333,697.0
3000064,pi,4,0.0052,0.0070,0.6,616.0
3000064,mppi,4,0.0033,0.0170,1.0,684.6666666666666
3250176,pi,4,0.0046,0.0070,0.6,606.2
3250176,mppi,4,0.0000,0.0020,0.6666666666666666,1000.0
3500032,pi,4,0.0688,0.2246,9.8,481.4
3500032,mppi,4,0.0160,0.0233,1.0,67.66666666666667
3750144,pi,4,0.0042,0.0168,0.4,644.8
3750144,mppi,4,0.0000,0.0000,0.0,1000.0
4000000,pi,4,0.0860,0.1338,7.0,66.2
4000000,mppi,4,0.1233,0.2273,10.333333333333334,63.666666666666664
4250112,pi,4,0.0048,0.0154,0.8,229.2
4250112,mppi,4,0.0020,0.0060,0.3333333333333333,672.3333333333334
4500224,pi,4,0.0110,0.0240,0.8,241.0
4500224,mppi,4,0.0097,0.0110,0.6666666666666666,363.3333333333333
4750080,pi,4,0.0098,0.0240,1.0,248.2
4750080,mppi,4,0.0050,0.0130,0.6666666666666666,370.0
5000192,pi,4,0.0038,0.0218,0.6,647.0
5000192,mppi,4,0.0040,0.0100,0.3333333333333333,675.6666666666666
5250048,pi,4,0.0030,0.0186,0.8,440.8
5250048,mppi,4,0.0023,0.0070,0.3333333333333333,672.6666666666666
5500160,pi,4,0.0072,0.0250,1.0,256.6
5500160,mppi,4,0.0057,0.0140,1.0,359.3333333333333
5750016,pi,4,0.0064,0.0226,0.8,359.2
5750016,mppi,4,0.0047,0.0240,1.0,48.333333333333336
6000128,pi,4,0.0090,0.0290,0.8,253.2
6000128,mppi,4,0.0087,0.0227,1.0,362.6666666666667
6250240,pi,4,0.0032,0.0166,0.6,625.6
6250240,mppi,4,0.0010,0.0327,0.3333333333333333,725.0
6500096,pi,4,0.1780,0.3400,13.6,57.2
6500096,mppi,4,0.0527,0.1037,4.0,681.6666666666666
6750208,pi,4,0.0096,0.0146,0.6,448.6
6750208,mppi,4,0.0153,0.0267,1.0,61.333333333333336
7000064,pi,4,0.0174,0.0312,1.0,39.4
7000064,mppi,4,0.0033,0.0143,0.6666666666666666,682.0
7250176,pi,4,0.0094,0.0106,0.6,434.6
7250176,mppi,4,0.0050,0.0080,0.6666666666666666,679.0
7500032,pi,4,0.0114,0.0244,1.0,260.6
7500032,mppi,4,0.0093,0.0197,0.6666666666666666,371.6666666666667
7750144,pi,4,0.0042,0.0294,1.4,436.4
7750144,mppi,4,0.0147,0.0403,2.3333333333333335,82.33333333333333
8000000,pi,4,0.0078,0.0160,1.0,425.0
8000000,mppi,4,0.0157,0.0327,1.0,50.0
8250112,pi,4,0.0084,0.0260,0.6,440.0
8250112,mppi,4,0.0037,0.0073,0.6666666666666666,673.3333333333334
8500224,pi,4,0.2230,0.4516,15.2,56.2
8500224,mppi,4,0.0673,0.1140,5.0,56.666666666666664
8750080,pi,4,0.2456,0.3078,19.4,57.8
8750080,mppi,4,0.0090,0.0193,0.6666666666666666,378.0
9000192,pi,4,0.0166,0.0304,1.0,64.0
9000192,mppi,4,0.0173,0.0260,1.0,77.66666666666667
9250048,pi,4,0.2342,0.2964,16.2,240.4
9250048,mppi,4,0.2697,0.4613,16.666666666666668,49.333333333333336
9500160,pi,4,0.2924,0.4380,17.4,60.0
9500160,mppi,4,0.3217,0.4110,19.333333333333332,42.333333333333336
9750016,pi,4,0.2858,0.4010,18.8,56.2
9750016,mppi,4,0.1853,0.3270,11.333333333333334,359.3333333333333
10000128,pi,4,0.3010,0.4190,19.0,35.4
10000128,mppi,4,0.2903,0.4343,18.0,38.333333333333336
