step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.0,mppi,1
500224,0.0,pi,1
500224,0.8,mppi,1
750080,0.0,pi,1
750080,1.3,mppi,1
1000192,3.4,pi,1
1000192,1.6,mppi,1
1250048,3.6,pi,1
1250048,1.9,mppi,1
1500160,1.0,pi,1
1500160,0.2,mppi,1
1750016,2.5,pi,1
1750016,4.5,mppi,1
2000128,2.6,pi,1
2000128,3.1,mppi,1
2250240,8.5,pi,1
2250240,4.2,mppi,1
2500096,5.3,pi,1
2500096,1.8,mppi,1
2750208,0.0,pi,1
2750208,1.5,mppi,1
3000064,0.1,pi,1
3000064,1.3,mppi,1
3250176,5.5,pi,1
3250176,0.0,mppi,1
3500032,0.4,pi,1
3500032,6.2,mppi,1
3750144,0.0,pi,1
3750144,2.6,mppi,1
4000000,0.0,pi,1
4000000,2.8,mppi,1
4250112,0.0,pi,1
4250112,2.3,mppi,1
4500224,0.0,pi,1
4500224,5.3,mppi,1
4750080,4.0,pi,1
4750080,1.4,mppi,1
5000192,4.8,pi,1
5000192,2.1,mppi,1
5250048,0.0,pi,1
5250048,3.9,mppi,1
5500160,0.0,pi,1
5500160,1.4,mppi,1
5750016,8.1,pi,1
5750016,5.0,mppi,1
6000128,0.0,pi,1
6000128,1.7,mppi,1
6250240,3.8,pi,1
6250240,6.1,mppi,1
6500096,1.3,pi,1
6500096,0.0,mppi,1
