step,reward,eval_type,seed
250112,130.9,pi,1
250112,157.9,mppi,1
500224,207.2,pi,1
500224,274.6,mppi,1
750080,276.4,pi,1
750080,304.1,mppi,1
1000192,289.0,pi,1
1000192,313.6,mppi,1
1250048,322.4,pi,1
1250048,343.0,mppi,1
1500160,323.1,pi,1
1500160,347.2,mppi,1
1750016,316.7,pi,1
1750016,335.4,mppi,1
2000128,326.0,pi,1
2000128,351.4,mppi,1
2250240,328.7,pi,1
2250240,345.1,mppi,1
2500096,345.0,pi,1
2500096,366.7,mppi,1
2750208,327.4,pi,1
2750208,366.7,mppi,1
3000064,258.1,pi,1
3000064,374.8,mppi,1
