step,reward,eval_type,seed
250112,98.9,pi,4
250112,119.3,mppi,4
500224,7.8,pi,4
500224,187.9,mppi,4
750080,4.5,pi,4
750080,14.8,mppi,4
1000192,9.6,pi,4
1000192,18.1,mppi,4
1250048,317.6,pi,4
1250048,334.8,mppi,4
1500160,323.0,pi,4
1500160,335.5,mppi,4
1750016,314.0,pi,4
1750016,338.5,mppi,4
2000128,323.7,pi,4
2000128,340.1,mppi,4
2250240,320.7,pi,4
2250240,341.9,mppi,4
2500096,314.6,pi,4
2500096,342.9,mppi,4
2750208,320.1,pi,4
2750208,342.7,mppi,4
3000064,317.6,pi,4
3000064,339.2,mppi,4
3250176,322.0,pi,4
3250176,336.0,mppi,4
3500032,348.6,pi,4
3500032,322.5,mppi,4
3750144,330.4,pi,4
3750144,329.4,mppi,4
4000000,336.4,pi,4
4000000,355.5,mppi,4
