step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.8180,1.0000,0.0,0.4
50176,mppi,0,0.0947,1.0000,0.0,5.666666666666667
100096,pi,0,0.7422,1.0000,0.0,1.6
100096,mppi,0,0.6547,1.0000,0.0,6.333333333333333
150016,pi,0,0.9944,1.0000,0.0,5.6
150016,mppi,0,0.8783,1.0000,0.0,4.0
200192,pi,0,0.9906,1.0000,0.0,5.6
200192,mppi,0,0.7687,1.0000,0.0,9.666666666666666
250112,pi,0,0.9996,1.0000,0.0,0.4
250112,mppi,0,0.0553,1.0000,0.0,5.666666666666667
300032,pi,0,0.7294,1.0000,0.0,257.8
300032,mppi,0,0.1213,0.9800,0.6666666666666666,336.6666666666667
350208,pi,0,0.2886,1.0000,0.0,3.4
350208,mppi,0,0.5487,1.0000,0.0,7.0
400128,pi,0,0.2862,1.0000,0.0,12.2
400128,mppi,0,0.0800,1.0000,0.0,86.33333333333333
450048,pi,0,0.2178,1.0000,0.0,203.2
450048,mppi,0,0.3357,1.0000,0.0,5.666666666666667
500224,pi,0,0.3916,1.0000,0.0,603.8
500224,mppi,0,0.0313,1.0000,0.0,335.6666666666667
