step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.9332,1.0000,0.0,1.8
50176,mppi,4,0.5497,1.0000,0.0,4.666666666666667
100096,pi,4,0.9950,1.0000,0.0,5.0
100096,mppi,4,0.7130,1.0000,0.0,2.6666666666666665
150016,pi,4,0.9956,1.0000,0.0,4.2
150016,mppi,4,0.9937,1.0000,0.0,6.333333333333333
200192,pi,4,0.9864,1.0000,0.0,10.2
200192,mppi,4,0.9967,1.0000,0.0,3.3333333333333335
250112,pi,4,0.9960,1.0000,0.0,4.0
250112,mppi,4,0.6800,1.0000,0.0,2.3333333333333335
300032,pi,4,0.9958,1.0000,0.0,4.0
300032,mppi,4,0.9913,1.0000,0.0,8.666666666666666
350208,pi,4,0.7534,1.0000,0.0,3.6
350208,mppi,4,0.8283,1.0000,0.0,1.6666666666666667
400128,pi,4,0.0894,1.0000,0.0,260.6
400128,mppi,4,0.3313,0.8380,2.3333333333333335,51.666666666666664
450048,pi,4,0.9828,1.0000,0.0,15.4
450048,mppi,4,0.6653,1.0000,0.0,1.3333333333333333
500224,pi,4,0.9288,1.0000,0.0,2.2
500224,mppi,4,0.9093,1.0000,0.0,6.0
