step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.8694,1.0000,0.0,2.3
50176,mppi,0,0.3807,0.9937,1.0,5.3
100096,pi,0,0.8503,1.0000,0.0,10.7
100096,mppi,0,0.9583,1.0000,0.0,2.9
150016,pi,0,0.9910,1.0000,0.0,6.7
150016,mppi,0,0.5469,1.0000,0.0,5.9
200192,pi,0,0.9908,1.0000,0.0,4.1
200192,mppi,0,0.8573,1.0000,0.0,4.2
250112,pi,0,0.9903,1.0000,0.0,6.7
250112,mppi,0,0.7654,0.9995,0.2,4.4
300032,pi,0,0.9923,1.0000,0.0,7.6
300032,mppi,0,0.5887,1.0000,0.0,14.3
350208,pi,0,0.9909,1.0000,0.0,9.1
350208,mppi,0,0.2633,1.0000,0.0,204.4
400128,pi,0,0.9541,1.0000,0.0,2.6
400128,mppi,0,0.7879,0.9954,0.5,4.3
450048,pi,0,0.2667,1.0000,0.0,54.7
450048,mppi,0,0.5314,1.0000,0.0,8.3
500224,pi,0,0.1359,1.0000,0.0,104.5
500224,mppi,0,0.4233,1.0000,0.0,15.8
