step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0847,1.0000,0.0,4.4
50176,mppi,2,0.2180,1.0000,0.0,4.3
100096,pi,2,0.9976,1.0000,0.0,2.4
100096,mppi,2,0.6533,1.0000,0.0,2.7
150016,pi,2,0.9955,1.0000,0.0,4.5
150016,mppi,2,0.9941,1.0000,0.0,5.9
200192,pi,2,0.9744,1.0000,0.0,25.3
200192,mppi,2,0.6964,1.0000,0.0,303.6
250112,pi,2,0.6969,1.0000,0.0,302.9
250112,mppi,2,0.3326,1.0000,0.0,412.8
300032,pi,2,0.0020,0.9776,3.9,700.0
300032,mppi,2,0.0288,0.9324,7.6,422.4
350208,pi,2,0.9800,1.0000,0.0,19.9
350208,mppi,2,0.4237,1.0000,0.0,3.7
400128,pi,2,0.0010,1.0000,0.0,800.0
400128,mppi,2,0.1331,0.9660,0.6,129.5
450048,pi,2,0.0665,1.0000,0.0,100.8
450048,mppi,2,0.0738,1.0000,0.0,10.4
500224,pi,2,0.9928,1.0000,0.0,7.2
500224,mppi,2,0.6025,1.0000,0.0,7.8
