step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.2918,1.0000,0.0,2.6
50176,mppi,3,0.3910,1.0000,0.0,5.0
100096,pi,3,0.9890,1.0000,0.0,7.0
100096,mppi,3,0.9473,1.0000,0.0,5.666666666666667
150016,pi,3,0.9970,1.0000,0.0,3.0
150016,mppi,3,0.8400,1.0000,0.0,2.3333333333333335
200192,pi,3,0.8518,1.0000,0.0,4.0
200192,mppi,3,0.9723,1.0000,0.0,0.3333333333333333
250112,pi,3,0.3320,1.0000,0.0,1.4
250112,mppi,3,0.9487,1.0000,0.0,4.333333333333333
300032,pi,3,0.5006,0.9998,0.2,116.6
300032,mppi,3,0.0063,1.0000,0.0,672.6666666666666
350208,pi,3,0.2424,1.0000,0.0,426.8
350208,mppi,3,0.2447,1.0000,0.0,481.0
400128,pi,3,0.9624,1.0000,0.0,7.8
400128,mppi,3,0.8613,1.0000,0.0,8.666666666666666
450048,pi,3,0.5894,0.9940,4.2,98.0
450048,mppi,3,0.6383,1.0000,0.0,3.3333333333333335
500224,pi,3,0.1826,1.0000,0.0,227.0
500224,mppi,3,0.5300,1.0000,0.0,333.3333333333333
