step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.5086,1.0000,0.0,2.0
50176,mppi,2,0.4887,1.0000,0.0,3.6666666666666665
100096,pi,2,0.0258,1.0000,0.0,3.4
100096,mppi,2,0.7843,0.9993,0.3333333333333333,148.33333333333334
150016,pi,2,0.9876,1.0000,0.0,1.6
150016,mppi,2,0.9827,1.0000,0.0,6.666666666666667
200192,pi,2,0.9992,1.0000,0.0,0.8
200192,mppi,2,0.9840,1.0000,0.0,12.666666666666666
250112,pi,2,0.9452,1.0000,0.0,1.0
250112,mppi,2,0.9557,1.0000,0.0,5.666666666666667
300032,pi,2,0.6940,1.0000,0.0,44.2
300032,mppi,2,0.3003,1.0000,0.0,0.0
350208,pi,2,0.4086,1.0000,0.0,402.0
350208,mppi,2,0.9737,1.0000,0.0,2.3333333333333335
400128,pi,2,0.9628,1.0000,0.0,6.0
400128,mppi,2,0.9580,1.0000,0.0,9.333333333333334
450048,pi,2,0.9644,1.0000,0.0,7.2
450048,mppi,2,0.9937,1.0000,0.0,1.0
500224,pi,2,0.8378,1.0000,0.0,3.4
500224,mppi,2,0.4067,1.0000,0.0,4.333333333333333
