step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.1306,1.0000,0.0,0.0
50176,mppi,0,0.4997,1.0000,0.0,0.0
100096,pi,0,0.9984,1.0000,0.0,0.0
100096,mppi,0,0.9060,1.0000,0.0,0.0
150016,pi,0,1.0000,1.0000,0.0,0.0
150016,mppi,0,0.7983,1.0000,0.0,0.0
200192,pi,0,1.0000,1.0000,0.0,0.0
200192,mppi,0,1.0000,1.0000,0.0,0.0
250112,pi,0,0.8620,1.0000,0.0,0.0
250112,mppi,0,0.6543,0.9980,0.6666666666666666,0.0
300032,pi,0,1.0000,1.0000,0.0,0.0
300032,mppi,0,0.5733,0.9693,0.3333333333333333,0.0
350208,pi,0,0.8524,1.0000,0.0,0.0
350208,mppi,0,0.7947,1.0000,0.0,0.0
400128,pi,0,0.3782,1.0000,0.0,0.0
400128,mppi,0,0.0273,1.0000,0.0,0.0
450048,pi,0,0.7564,1.0000,0.0,0.0
450048,mppi,0,0.0837,0.9890,3.0,0.0
500224,pi,0,1.0000,1.0000,0.0,0.0
500224,mppi,0,0.0617,1.0000,0.0,0.0
