step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.6446,0.9842,6.8,0.0
50176,mppi,1,0.5700,1.0000,0.0,0.0
100096,pi,1,0.9962,1.0000,0.0,0.0
100096,mppi,1,1.0000,1.0000,0.0,0.0
150016,pi,1,0.5994,1.0000,0.0,0.0
150016,mppi,1,0.6080,1.0000,0.0,0.0
200192,pi,1,1.0000,1.0000,0.0,0.0
200192,mppi,1,1.0000,1.0000,0.0,0.0
250112,pi,1,1.0000,1.0000,0.0,0.0
250112,mppi,1,0.7047,1.0000,0.0,0.0
300032,pi,1,0.9816,1.0000,0.0,0.0
300032,mppi,1,0.9837,1.0000,0.0,0.0
350208,pi,1,1.0000,1.0000,0.0,0.0
350208,mppi,1,1.0000,1.0000,0.0,0.0
400128,pi,1,0.9976,1.0000,0.0,0.0
400128,mppi,1,0.4000,0.9967,2.0,0.0
450048,pi,1,0.0128,1.0000,0.0,0.0
450048,mppi,1,0.1667,1.0000,0.0,0.0
500224,pi,1,1.0000,1.0000,0.0,0.0
500224,mppi,1,0.9940,1.0000,0.0,0.0
