step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.1127,0.9843,1.0,0.0
50176,mppi,1,0.8702,1.0000,0.0,0.0
100096,pi,1,1.0000,1.0000,0.0,0.0
100096,mppi,1,0.9527,1.0000,0.0,0.0
150016,pi,1,1.0000,1.0000,0.0,0.0
150016,mppi,1,0.9964,1.0000,0.0,0.0
200192,pi,1,1.0000,1.0000,0.0,0.0
200192,mppi,1,0.9192,1.0000,0.0,0.0
250112,pi,1,1.0000,1.0000,0.0,0.0
250112,mppi,1,0.7879,1.0000,0.0,0.0
300032,pi,1,0.9991,1.0000,0.0,0.0
300032,mppi,1,0.7985,1.0000,0.0,0.0
350208,pi,1,0.7989,1.0000,0.0,0.0
350208,mppi,1,0.2338,0.9618,2.3,0.0
400128,pi,1,0.6834,0.9988,0.6,0.0
400128,mppi,1,0.1625,1.0000,0.0,0.0
450048,pi,1,0.9891,1.0000,0.0,0.0
450048,mppi,1,0.3202,1.0000,0.0,0.0
500224,pi,1,0.8163,1.0000,0.0,0.0
500224,mppi,1,0.3190,0.9627,0.4,0.0
