step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.6995,0.9939,1.9,0.0
50176,mppi,0,0.2818,0.9777,1.1,0.0
100096,pi,0,1.0000,1.0000,0.0,0.0
100096,mppi,0,0.4530,0.9998,0.2,0.0
150016,pi,0,1.0000,1.0000,0.0,0.0
150016,mppi,0,0.8107,1.0000,0.0,0.0
200192,pi,0,1.0000,1.0000,0.0,0.0
200192,mppi,0,0.8163,1.0000,0.0,0.0
250112,pi,0,1.0000,1.0000,0.0,0.0
250112,mppi,0,0.9212,0.9985,0.2,0.0
300032,pi,0,0.9487,1.0000,0.0,0.0
300032,mppi,0,0.8882,1.0000,0.0,0.0
350208,pi,0,1.0000,1.0000,0.0,0.0
350208,mppi,0,0.8622,0.9996,0.3,0.0
400128,pi,0,1.0000,1.0000,0.0,0.0
400128,mppi,0,0.9950,1.0000,0.0,0.0
450048,pi,0,1.0000,1.0000,0.0,0.0
450048,mppi,0,0.8196,0.9984,0.4,0.0
500224,pi,0,1.0000,1.0000,0.0,0.0
500224,mppi,0,0.8619,1.0000,0.0,0.0
