step,reward,eval_type,seed
50176,694.9,pi,1
50176,727.1,mppi,1
50176,1268.1,jumpy,1
100096,1321.2,pi,1
100096,354.3,mppi,1
100096,2023.9,jumpy,1
150016,793.8,pi,1
150016,1197.8,mppi,1
150016,2167.2,jumpy,1
200192,1519.4,pi,1
200192,1003.2,mppi,1
200192,2702.8,jumpy,1
250112,1776.4,pi,1
250112,1263.1,mppi,1
250112,2860.0,jumpy,1
300032,1506.9,pi,1
300032,742.8,mppi,1
300032,2718.0,jumpy,1
350208,1693.8,pi,1
350208,1317.7,mppi,1
350208,2507.5,jumpy,1
400128,1497.4,pi,1
400128,1442.2,mppi,1
400128,2777.4,jumpy,1
450048,2175.8,pi,1
450048,1723.4,mppi,1
450048,3030.4,jumpy,1
500224,1979.4,pi,1
500224,1069.8,mppi,1
500224,2969.5,jumpy,1
