step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0112,0.9886,2.4,0.0
50176,mppi,2,0.0163,1.0000,0.0,0.0
100096,pi,2,0.0770,0.8658,6.0,0.0
100096,mppi,2,0.0693,0.8223,0.3333333333333333,0.0
150016,pi,2,0.0310,1.0000,0.0,0.0
150016,mppi,2,0.1150,1.0000,0.0,0.0
200192,pi,2,0.0186,0.3240,4.6,0.0
200192,mppi,2,0.3607,1.0000,0.0,0.0
250112,pi,2,0.0240,0.9944,2.8,0.0
250112,mppi,2,0.0497,1.0000,0.0,0.0
300032,pi,2,0.0222,1.0000,0.0,0.0
300032,mppi,2,0.3937,1.0000,0.0,0.0
350208,pi,2,0.0652,0.9088,1.0,0.0
350208,mppi,2,0.0527,1.0000,0.0,0.0
400128,pi,2,0.2622,0.9994,0.6,0.0
400128,mppi,2,0.1157,1.0000,0.0,0.0
450048,pi,2,0.0752,0.9998,0.2,0.0
450048,mppi,2,0.0570,1.0000,0.0,0.0
500224,pi,2,0.3090,0.9826,6.6,0.0
500224,mppi,2,0.3130,0.9380,4.0,0.0
