step,reward,eval_type,seed
50176,702.6,pi,2
50176,475.0,mppi,2
50176,856.5,jumpy,2
100096,1157.0,pi,2
100096,1058.2,mppi,2
100096,1580.3,jumpy,2
150016,999.3,pi,2
150016,953.4,mppi,2
150016,1074.8,jumpy,2
200192,305.3,pi,2
200192,705.0,mppi,2
200192,2459.2,jumpy,2
250112,1148.9,pi,2
250112,803.7,mppi,2
250112,1266.2,jumpy,2
300032,1099.5,pi,2
300032,814.5,mppi,2
300032,1436.5,jumpy,2
350208,1326.2,pi,2
350208,1226.8,mppi,2
350208,1911.3,jumpy,2
400128,633.9,pi,2
400128,865.1,mppi,2
400128,1803.2,jumpy,2
450048,1072.3,pi,2
450048,485.4,mppi,2
450048,2000.2,jumpy,2
500224,1344.5,pi,2
500224,1018.9,mppi,2
500224,2231.8,jumpy,2
