step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.5040,1.0000,0.0,0.0
50176,mppi,0,0.4537,1.0000,0.0,0.0
100096,pi,0,0.9460,1.0000,0.0,0.0
100096,mppi,0,0.6253,1.0000,0.0,0.0
150016,pi,0,0.9872,1.0000,0.0,0.0
150016,mppi,0,0.9773,1.0000,0.0,0.0
200192,pi,0,0.9956,1.0000,0.0,0.0
200192,mppi,0,0.7447,1.0000,0.0,0.0
250112,pi,0,1.0000,1.0000,0.0,0.0
250112,mppi,0,0.6587,1.0000,0.0,0.0
300032,pi,0,1.0000,1.0000,0.0,0.0
300032,mppi,0,0.7170,1.0000,0.0,0.0
350208,pi,0,1.0000,1.0000,0.0,0.0
350208,mppi,0,0.5903,1.0000,0.0,0.0
400128,pi,0,0.9798,1.0000,0.0,0.0
400128,mppi,0,1.0000,1.0000,0.0,0.0
450048,pi,0,0.8674,1.0000,0.0,0.0
450048,mppi,0,0.9557,1.0000,0.0,0.0
500224,pi,0,1.0000,1.0000,0.0,0.0
500224,mppi,0,0.3140,1.0000,0.0,0.0
