step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0908,1.0000,0.0,0.0
50176,mppi,1,0.0803,0.9953,2.3333333333333335,0.0
100096,pi,1,0.5904,0.9702,4.4,0.0
100096,mppi,1,0.7017,0.9997,0.3333333333333333,0.0
150016,pi,1,0.9016,1.0000,0.0,0.0
150016,mppi,1,0.9147,1.0000,0.0,0.0
200192,pi,1,0.9606,1.0000,0.0,0.0
200192,mppi,1,0.9453,1.0000,0.0,0.0
250112,pi,1,1.0000,1.0000,0.0,0.0
250112,mppi,1,0.7533,0.9967,0.6666666666666666,0.0
300032,pi,1,0.9334,1.0000,0.0,0.0
300032,mppi,1,0.4543,1.0000,0.0,0.0
350208,pi,1,1.0000,1.0000,0.0,0.0
350208,mppi,1,0.9983,1.0000,0.0,0.0
400128,pi,1,0.8620,1.0000,0.0,0.0
400128,mppi,1,0.9490,1.0000,0.0,0.0
450048,pi,1,1.0000,1.0000,0.0,0.0
450048,mppi,1,0.8703,0.9990,0.6666666666666666,0.0
500224,pi,1,0.9978,1.0000,0.0,0.0
500224,mppi,1,0.9697,1.0000,0.0,0.0
