step,reward,eval_type,seed
50176,874.8,pi,2
50176,742.8,mppi,2
50176,596.1,jumpy,2
100096,904.7,pi,2
100096,1245.7,mppi,2
100096,1904.9,jumpy,2
150016,2081.8,pi,2
150016,1436.5,mppi,2
150016,2142.6,jumpy,2
200192,1867.8,pi,2
200192,724.0,mppi,2
200192,2331.5,jumpy,2
250112,1939.8,pi,2
250112,1608.9,mppi,2
250112,2807.0,jumpy,2
300032,2024.7,pi,2
300032,1706.7,mppi,2
300032,2486.6,jumpy,2
350208,2438.4,pi,2
350208,1466.7,mppi,2
350208,2787.2,jumpy,2
400128,2314.8,pi,2
400128,1500.2,mppi,2
400128,2798.6,jumpy,2
450048,2302.4,pi,2
450048,1632.7,mppi,2
450048,3078.4,jumpy,2
500224,2270.5,pi,2
500224,1984.1,mppi,2
500224,3206.1,jumpy,2
