step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,5,0.0160,0.9982,1.6,0.0
50176,mppi,5,0.0197,0.9913,4.666666666666667,0.0
100096,pi,5,0.0220,1.0000,0.0,0.0
100096,mppi,5,0.0187,1.0000,0.0,0.0
150016,pi,5,0.7164,0.9920,1.2,0.0
150016,mppi,5,0.0147,1.0000,0.0,0.0
200192,pi,5,0.0230,0.2514,0.8,0.0
200192,mppi,5,0.0167,0.9620,11.0,0.0
250112,pi,5,0.0104,0.9974,0.8,0.0
250112,mppi,5,0.0637,1.0000,0.0,0.0
300032,pi,5,0.0234,0.9678,6.2,0.0
300032,mppi,5,0.0753,0.7800,9.666666666666666,0.0
350208,pi,5,0.0228,0.9992,0.8,0.0
350208,mppi,5,0.0183,1.0000,0.0,0.0
400128,pi,5,0.0242,0.9500,5.6,0.0
400128,mppi,5,0.0323,1.0000,0.0,0.0
450048,pi,5,0.0288,0.9994,0.6,0.0
450048,mppi,5,0.0187,0.9850,5.666666666666667,0.0
500224,pi,5,0.0282,0.9644,8.0,0.0
500224,mppi,5,0.0323,0.9960,1.0,0.0
