step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0674,1.0000,0.0,0.0
50176,mppi,0,0.1140,0.9053,9.666666666666666,0.0
100096,pi,0,0.7210,0.9966,1.8,0.0
100096,mppi,0,0.8143,1.0000,0.0,0.0
150016,pi,0,0.7904,1.0000,0.0,0.0
150016,mppi,0,0.9600,1.0000,0.0,0.0
200192,pi,0,0.9898,1.0000,0.0,0.0
200192,mppi,0,0.7030,0.9983,1.3333333333333333,0.0
250112,pi,0,0.9878,1.0000,0.0,0.0
250112,mppi,0,0.7630,1.0000,0.0,0.0
300032,pi,0,0.9964,1.0000,0.0,0.0
300032,mppi,0,0.7970,1.0000,0.0,0.0
350208,pi,0,1.0000,1.0000,0.0,0.0
350208,mppi,0,0.7787,1.0000,0.0,0.0
400128,pi,0,0.9272,1.0000,0.0,0.0
400128,mppi,0,0.9201,1.0000,0.0,0.0
450048,pi,0,1.0000,1.0000,0.0,0.0
450048,mppi,0,0.9867,1.0000,0.0,0.0
500224,pi,0,0.9978,1.0000,0.0,0.0
500224,mppi,0,0.8507,1.0000,0.0,0.0
