step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0188,1.0000,0.0,0.0
50176,mppi,2,0.4857,1.0000,0.0,0.0
100096,pi,2,1.0000,1.0000,0.0,0.0
100096,mppi,2,0.9337,0.9967,1.6666666666666667,0.0
150016,pi,2,0.9982,1.0000,0.0,0.0
150016,mppi,2,0.7727,1.0000,0.0,0.0
200192,pi,2,0.9988,1.0000,0.0,0.0
200192,mppi,2,0.9420,1.0000,0.0,0.0
250112,pi,2,1.0000,1.0000,0.0,0.0
250112,mppi,2,0.6327,1.0000,0.0,0.0
300032,pi,2,0.9402,0.9902,1.2,0.0
300032,mppi,2,0.9643,1.0000,0.0,0.0
350208,pi,2,1.0000,1.0000,0.0,0.0
350208,mppi,2,0.6323,0.9987,1.3333333333333333,0.0
400128,pi,2,1.0000,1.0000,0.0,0.0
400128,mppi,2,0.9553,1.0000,0.0,0.0
450048,pi,2,1.0000,1.0000,0.0,0.0
450048,mppi,2,1.0000,1.0000,0.0,0.0
500224,pi,2,0.9816,1.0000,0.0,0.0
500224,mppi,2,0.9313,1.0000,0.0,0.0
