step,reward,eval_type,seed
50176,356.2,pi,4
50176,606.2,mppi,4
50176,799.9,jumpy,4
100096,669.9,pi,4
100096,933.8,mppi,4
100096,832.5,jumpy,4
150016,1439.8,pi,4
150016,1178.8,mppi,4
150016,1662.5,jumpy,4
200192,1090.3,pi,4
200192,591.4,mppi,4
200192,1278.4,jumpy,4
250112,796.2,pi,4
250112,711.9,mppi,4
250112,2199.4,jumpy,4
300032,1193.8,pi,4
300032,1069.6,mppi,4
300032,2163.4,jumpy,4
350208,1550.3,pi,4
350208,938.4,mppi,4
350208,2277.2,jumpy,4
400128,2209.5,pi,4
400128,1628.8,mppi,4
400128,2314.9,jumpy,4
450048,1719.1,pi,4
450048,1142.2,mppi,4
450048,2721.6,jumpy,4
500224,1955.4,pi,4
500224,849.4,mppi,4
500224,2482.0,jumpy,4
