step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.0710,1.0000,0.0,0.0
50176,mppi,4,0.3310,0.9463,5.0,0.0
100096,pi,4,0.8668,1.0000,0.0,0.0
100096,mppi,4,0.8127,1.0000,0.0,0.0
150016,pi,4,0.8794,0.9996,0.4,0.0
150016,mppi,4,0.7433,0.9437,3.0,0.0
200192,pi,4,0.5736,0.9986,0.8,0.0
200192,mppi,4,0.4750,1.0000,0.0,0.0
250112,pi,4,0.6082,1.0000,0.0,0.0
250112,mppi,4,0.3277,1.0000,0.0,0.0
300032,pi,4,0.6882,1.0000,0.0,0.0
300032,mppi,4,0.6727,1.0000,0.0,0.0
350208,pi,4,0.9386,1.0000,0.0,0.0
350208,mppi,4,0.6843,1.0000,0.0,0.0
400128,pi,4,0.9994,1.0000,0.0,0.0
400128,mppi,4,0.8540,1.0000,0.0,0.0
450048,pi,4,0.9922,1.0000,0.0,0.0
450048,mppi,4,0.8383,1.0000,0.0,0.0
500224,pi,4,1.0000,1.0000,0.0,0.0
500224,mppi,4,0.6403,1.0000,0.0,0.0
