step,reward,eval_type,seed
250112,0.1,pi,4
250112,0.2,mppi,4
500224,0.0,pi,4
500224,0.2,mppi,4
750080,0.0,pi,4
750080,0.8,mppi,4
1000192,0.0,pi,4
1000192,2.1,mppi,4
1250048,51.0,pi,4
1250048,26.0,mppi,4
1500160,48.8,pi,4
1500160,69.6,mppi,4
1750016,0.1,pi,4
1750016,0.4,mppi,4
2000128,91.8,pi,4
2000128,103.2,mppi,4
2250240,59.9,pi,4
2250240,95.7,mppi,4
2500096,126.5,pi,4
2500096,154.4,mppi,4
2750208,111.8,pi,4
2750208,147.4,mppi,4
3000064,203.0,pi,4
3000064,152.6,mppi,4
3250176,116.3,pi,4
3250176,163.2,mppi,4
