step,reward,eval_type,seed
250112,3.0,pi,2
250112,0.8,mppi,2
500224,36.1,pi,2
500224,2.0,mppi,2
750080,116.7,pi,2
750080,62.5,mppi,2
1000192,2.9,pi,2
1000192,4.0,mppi,2
1250048,144.1,pi,2
1250048,164.5,mppi,2
1500160,200.9,pi,2
1500160,190.1,mppi,2
1750016,98.3,pi,2
1750016,64.7,mppi,2
2000128,101.1,pi,2
2000128,197.5,mppi,2
2250240,108.5,pi,2
2250240,148.2,mppi,2
2500096,107.2,pi,2
2500096,209.6,mppi,2
2750208,160.2,pi,2
2750208,142.1,mppi,2
3000064,162.0,pi,2
3000064,142.0,mppi,2
3250176,218.9,pi,2
3250176,181.2,mppi,2
3500032,169.1,pi,2
3500032,143.4,mppi,2
3750144,217.0,pi,2
3750144,191.2,mppi,2
4000000,110.1,pi,2
4000000,221.5,mppi,2
