step,reward,eval_type,seed
250112,4.7,pi,3
250112,5.9,mppi,3
500224,0.0,pi,3
500224,0.9,mppi,3
750080,27.6,pi,3
750080,60.7,mppi,3
1000192,43.2,pi,3
1000192,82.7,mppi,3
1250048,111.8,pi,3
1250048,149.8,mppi,3
1500160,232.0,pi,3
1500160,174.4,mppi,3
1750016,259.6,pi,3
1750016,178.7,mppi,3
2000128,249.1,pi,3
2000128,320.2,mppi,3
2250240,245.0,pi,3
2250240,279.7,mppi,3
2500096,261.6,pi,3
2500096,302.3,mppi,3
2750208,251.1,pi,3
2750208,289.3,mppi,3
3000064,284.2,pi,3
3000064,322.2,mppi,3
3250176,273.1,pi,3
3250176,320.5,mppi,3
3500032,286.5,pi,3
3500032,318.7,mppi,3
3750144,280.3,pi,3
3750144,306.7,mppi,3
4000000,295.2,pi,3
4000000,315.7,mppi,3
4250112,285.0,pi,3
4250112,320.6,mppi,3
4500224,296.8,pi,3
4500224,316.2,mppi,3
