training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.7152977,7.7152977,0.090947345,1.0,0.9517149,3.3038092,-3.762216,0.013328613,0.00782681,0.986938,0.70657307,0.020394344,0.066414066,-0.08367132,1.6564604,-7.8060384,7.8060384,0.11363258,1.0,0.888131,3.7289696,-3.7588966,0.010380184,0.00842401,0.9888695,0.7151653,0.017531838,0.007286279201507568,36.431408405303955,5000
-7.6917677,7.6917677,0.08506493,1.0,0.9461342,5.5347342,-5.8556457,0.016361823,0.052611146,0.9888537,1.0002239,0.026364062,0.057720914,-0.040211197,1.873653,-7.76277,7.76277,0.10281558,1.0,1.0478685,5.326017,-5.9988246,0.018568022,0.069337405,0.98783314,1.0038309,0.028606331,0.0036113655090332032,54.48824191093445,10000
-7.6199837,7.6199837,0.06711878,1.0,1.9845892,5.5347342,-5.8556457,0.025970578,0.04509845,0.98664856,1.5830715,0.041801292,0.05611333,-0.058019776,1.9403167,-7.6740875,7.6740875,0.08064469,1.0,1.9517864,5.326017,-5.9988246,0.031817693,0.07718764,0.98841876,1.5732424,0.04755012,0.0036655963897705077,72.81622982025146,15000
-7.6177983,7.6177983,0.066572584,1.0,1.2408178,5.5347342,-5.8556457,0.02034501,0.052898705,0.9878428,1.0423977,0.030768987,0.05300999,-0.06808682,1.4517846,-7.6862087,7.6862087,0.08367506,1.0,1.5265461,5.326017,-5.9988246,0.026724294,0.07442428,0.9866603,1.0369494,0.03709379,0.0036510037422180174,91.07125425338745,20000
-7.6630044,7.6630044,0.07787408,1.0,1.6665401,5.5347342,-5.8556457,0.044419408,0.10247786,0.987708,1.3340783,0.05776019,0.04212891,-0.040775515,2.2185566,-7.651269,7.651269,0.07494013,1.0,1.4723012,5.326017,-5.9988246,0.027345812,0.059927437,0.9874552,1.3235176,0.040580988,0.005017764949798584,116.16008496284485,25000
-7.730647,7.730647,0.09478477,1.0,2.2363317,5.5347342,-5.8556457,0.03236799,0.04262168,0.987674,1.5440753,0.04780874,0.11561964,-0.14886549,3.1843882,-7.694392,7.694392,0.08572112,1.0,1.2701688,5.326017,-5.9988246,0.014883218,0.04891499,0.9873454,1.5416231,0.03029945,0.0036300407409667968,134.31029391288757,30000
-7.6827774,7.6827774,0.08281734,1.0,1.0205483,5.5347342,-5.8556457,0.023828492,0.093847826,0.9872701,1.1705726,0.035534218,0.06284218,-0.06146143,2.0317578,-7.664277,7.664277,0.07819228,1.0,0.88124216,5.326017,-5.9988246,0.028378248,0.08369341,0.9875126,1.1833163,0.04021141,0.003531817960739136,151.969388961792,35000
-7.6495733,7.6495733,0.074516244,1.0,1.3606726,5.5347342,-5.8556457,0.03819702,0.08628474,0.9872881,0.8960507,0.047157526,0.08383203,-0.06403361,2.3107595,-7.6745186,7.6745186,0.080752574,1.0,0.8083768,5.326017,-5.9988246,0.019560408,0.0877749,0.9874109,0.88414514,0.02840186,0.003589734411239624,169.918066740036,40000
-7.64298,7.64298,0.07286804,1.0,1.2951248,5.5347342,-5.8556457,0.022285108,0.08390427,0.9872938,0.81699765,0.030455083,0.055261638,-0.074701086,1.7553596,-7.6572194,7.6572194,0.07642776,1.0,0.9580745,5.326017,-5.9988246,0.021395542,0.10116331,0.9868432,0.81251246,0.029520666,0.005096916866302491,195.40265607833862,45000
-7.6212864,7.6212864,0.06744446,1.0,1.0071585,5.5347342,-5.8556457,0.020317458,0.07771186,0.9881444,0.9376769,0.029694226,0.25835118,-0.1734623,3.772183,-7.7325034,7.7325034,0.09524879,1.0,1.042509,5.326017,-5.9988246,0.024518779,0.08953804,0.98768955,0.92518306,0.03377061,0.003488627004623413,212.84579706192017,50000
-7.6228294,7.6228294,0.06783034,1.0,0.988218,5.5347342,-5.8556457,0.014351927,0.05160156,0.988659,0.9874387,0.024226313,0.07502597,-0.08871786,2.2488878,-7.65207,7.65207,0.075140506,1.0,1.034138,5.326017,-5.9988246,0.02592741,0.07977878,0.9859694,0.977566,0.03570307,0.0034596001625061034,230.14380311965942,55000
-7.6319795,7.6319795,0.070117846,1.0,0.7937201,5.5347342,-5.8556457,0.030557625,0.09668034,0.9857224,0.6163106,0.03672073,0.06064034,-0.06794975,1.6942178,-7.674653,7.674653,0.08078614,1.0,0.805976,5.326017,-5.9988246,0.017770883,0.11827169,0.98616576,0.6264132,0.024035014,0.0035931488037109376,248.1095530986786,60000
-7.627735,7.627735,0.06905682,1.0,0.93865395,5.5347342,-5.8556457,0.015446408,0.075881585,0.9872824,0.8276132,0.02372254,0.06858412,-0.06637445,2.046792,-7.743928,7.743928,0.09810495,1.0,0.6377617,5.326017,-5.9988246,0.018806497,0.07335703,0.9883156,0.8282179,0.027088676,0.003682612133026123,266.5226192474365,65000
-7.631048,7.631048,0.069884986,1.0,1.0282433,5.5347342,-5.8556457,0.026564922,0.08819303,0.98739517,1.3091443,0.039656363,0.07479105,-0.051623225,1.8253891,-7.729759,7.729759,0.09456265,1.0,0.70980823,5.326017,-5.9988246,0.018125951,0.07042241,0.9876716,1.3049127,0.031175077,0.0036845635890960693,284.94544291496277,70000
-7.611629,7.611629,0.06503013,1.0,0.5559124,5.5347342,-5.8556457,0.016632942,0.14709046,0.98825747,0.6087658,0.0227206,0.08893431,-0.074061945,2.615006,-7.7188845,7.7188845,0.09184422,1.0,0.5663105,5.326017,-5.9988246,0.024089832,0.11462338,0.98593134,0.5925734,0.030015565,0.003598017168045044,302.93553376197815,75000
