training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.715289,7.715289,0.09094518,1.0,0.95244336,3.3146975,-3.7602673,0.01330114,0.007725913,0.986938,0.7036222,0.020337362,0.0663673,-0.083607405,1.6555734,-7.80602,7.80602,0.11362791,1.0,0.8909979,3.7113814,-3.767755,0.010316428,0.008256291,0.9888695,0.7116095,0.017432522,0.012048621129989624,60.24311852455139,5000
-7.691781,7.691781,0.08506821,1.0,0.97736245,5.5347342,-5.8556457,0.01610846,0.050929647,0.9888537,1.012806,0.026236521,0.056661475,-0.041885477,1.879184,-7.7628193,7.7628193,0.10282791,1.0,1.0864534,5.326017,-5.9988246,0.017610174,0.04365261,0.98783314,1.0166619,0.027776793,0.0037102027893066406,78.79413866996765,10000
-7.6199927,7.6199927,0.06712113,1.0,1.8088398,5.5347342,-5.8556457,0.02276934,0.027494233,0.98664856,1.4669199,0.037438538,0.056172185,-0.039763376,1.6016673,-7.6740885,7.6740885,0.080645025,1.0,1.8204975,5.326017,-5.9988246,0.029446624,0.061334886,0.98841876,1.4609647,0.04405627,0.003655302906036377,97.07065868377686,15000
-7.6178274,7.6178274,0.066579774,1.0,1.6872859,5.5347342,-5.8556457,0.025651734,0.026596367,0.9878428,1.3829725,0.03948146,0.053054295,-0.06809812,1.456162,-7.686225,7.686225,0.083679125,1.0,2.0625494,5.326017,-5.9988246,0.030230884,0.059465423,0.9866603,1.3747108,0.04397799,0.003660187005996704,115.37159895896912,20000
-7.6630154,7.6630154,0.07787683,1.0,1.8007329,5.5347342,-5.8556457,0.04836916,0.10280609,0.987708,1.4236722,0.06260588,0.042224493,-0.04073898,2.5030842,-7.651271,7.651271,0.074940786,1.0,1.5529413,5.326017,-5.9988246,0.025936747,0.0715623,0.9874552,1.404328,0.039980028,0.003636480760574341,133.55400896072388,25000
-7.7306337,7.7306337,0.09478134,1.0,2.5564756,5.5347342,-5.8556457,0.04848698,0.093349576,0.987674,1.4976842,0.06346382,0.35640028,-0.2646999,4.8510895,-7.6944113,7.6944113,0.08572574,1.0,1.7916336,5.326017,-5.9988246,0.028571906,0.08319773,0.9873454,1.5011903,0.04358381,0.003690103816986084,152.00453400611877,30000
-7.682772,7.682772,0.08281596,1.0,0.99648464,5.5347342,-5.8556457,0.022758394,0.11051159,0.9872701,1.0803232,0.033561625,0.07731078,-0.107856676,2.588106,-7.66425,7.66425,0.07818547,1.0,0.84392226,5.326017,-5.9988246,0.029615618,0.09183264,0.9875126,1.0988989,0.040604606,0.003632288932800293,170.16598439216614,35000
-7.649591,7.649591,0.07452073,1.0,1.4045874,5.5347342,-5.8556457,0.03470538,0.06907849,0.9872881,0.82459015,0.042951282,0.090160206,-0.06617001,2.1433566,-7.6745186,7.6745186,0.08075254,1.0,0.84664077,5.326017,-5.9988246,0.023309452,0.107021585,0.9874109,0.81665796,0.031476032,0.0035932952880859373,188.13246655464172,40000
-7.6429625,7.6429625,0.07286356,1.0,1.2292994,5.5347342,-5.8556457,0.024303786,0.08339061,0.9872938,0.59998584,0.030303644,0.20748234,-0.13769038,3.032139,-7.6571875,7.6571875,0.07641984,1.0,0.77744913,5.326017,-5.9988246,0.020785552,0.089758724,0.9868432,0.6012587,0.026798138,0.0036294110774993896,206.27952766418457,45000
-7.6213126,7.6213126,0.067451134,1.0,0.900851,5.5347342,-5.8556457,0.02217142,0.093465,0.9881444,0.7197963,0.029369382,0.065884076,-0.08511447,2.027078,-7.732525,7.732525,0.09525414,1.0,0.8269876,5.326017,-5.9988246,0.02631097,0.12002329,0.98768955,0.7071671,0.03338264,0.00362986798286438,224.4288728237152,50000
