step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0230,0.4176,12.6,164.2
250112,mppi,1,0.1034,0.1846,8.5,322.875
500224,pi,1,0.1562,0.2250,9.0,90.0
500224,mppi,1,0.2144,0.3441,12.0,68.0
750080,pi,1,0.3336,0.3658,14.4,69.8
750080,mppi,1,0.3524,0.3768,14.125,58.625
1000192,pi,1,0.3562,0.3824,15.2,41.6
1000192,mppi,1,0.3608,0.3936,15.25,48.25
1250048,pi,1,0.3552,0.3974,14.2,43.4
1250048,mppi,1,0.3528,0.3756,15.125,55.125
1500160,pi,1,0.3652,0.3852,14.2,45.4
1500160,mppi,1,0.3518,0.3756,13.375,101.5
1750016,pi,1,0.3728,0.4124,13.4,50.8
1750016,mppi,1,0.3831,0.4159,13.625,56.875
2000128,pi,1,0.3756,0.4508,12.6,56.2
2000128,mppi,1,0.4093,0.4693,13.125,41.875
2250240,pi,1,0.3988,0.4572,13.2,26.2
2250240,mppi,1,0.4064,0.4595,13.125,41.75
