step,reward,eval_type,seed
250112,0.0,pi,2
250112,0.0,mppi,2
500224,0.8,pi,2
500224,0.0,mppi,2
750080,0.0,pi,2
750080,0.0,mppi,2
1000192,0.0,pi,2
1000192,67.0,mppi,2
1250048,201.9,pi,2
1250048,224.9,mppi,2
1500160,252.0,pi,2
1500160,263.0,mppi,2
1750016,241.0,pi,2
1750016,270.2,mppi,2
2000128,204.7,pi,2
2000128,270.6,mppi,2
2250240,254.9,pi,2
2250240,265.9,mppi,2
2500096,256.7,pi,2
2500096,265.3,mppi,2
2750208,270.8,pi,2
2750208,277.5,mppi,2
3000064,269.1,pi,2
3000064,273.2,mppi,2
3250176,269.1,pi,2
3250176,284.9,mppi,2
3500032,262.0,pi,2
3500032,280.8,mppi,2
3750144,274.5,pi,2
3750144,283.2,mppi,2
4000000,263.5,pi,2
4000000,273.4,mppi,2
4250112,269.4,pi,2
4250112,278.0,mppi,2
