step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0000,0.0000,0.0,1000.0
500224,pi,2,0.0000,0.0020,0.2,1000.0
500224,mppi,2,0.0000,0.0000,0.0,1000.0
750080,pi,2,0.0000,0.0000,0.0,1000.0
750080,mppi,2,0.0000,0.0000,0.0,1000.0
1000192,pi,2,0.0000,0.0000,0.0,1000.0
1000192,mppi,2,0.0733,0.1377,7.0,676.3333333333334
1250048,pi,2,0.2218,0.4642,15.0,71.2
1250048,mppi,2,0.2453,0.4410,17.666666666666668,55.0
1500160,pi,2,0.2636,0.4084,14.2,56.4
1500160,mppi,2,0.2847,0.3930,15.333333333333334,63.333333333333336
1750016,pi,2,0.2880,0.4090,14.6,54.2
1750016,mppi,2,0.2907,0.4370,15.0,61.0
2000128,pi,2,0.2412,0.3402,12.0,242.8
2000128,mppi,2,0.2960,0.4500,15.0,55.0
2250240,pi,2,0.2860,0.4144,14.8,56.4
2250240,mppi,2,0.2900,0.4143,15.0,55.333333333333336
2500096,pi,2,0.2804,0.4894,13.8,63.8
2500096,mppi,2,0.2777,0.4697,14.666666666666666,55.0
2750208,pi,2,0.2846,0.4780,14.0,42.2
2750208,mppi,2,0.2713,0.4887,14.0,53.0
3000064,pi,2,0.2812,0.4640,14.4,49.8
3000064,mppi,2,0.2893,0.4800,14.333333333333334,64.0
3250176,pi,2,0.2782,0.4700,14.2,53.0
3250176,mppi,2,0.2800,0.4793,14.333333333333334,68.0
3500032,pi,2,0.2842,0.4630,14.2,61.8
3500032,mppi,2,0.2837,0.4850,14.333333333333334,45.333333333333336
3750144,pi,2,0.2778,0.4800,14.4,40.0
3750144,mppi,2,0.2647,0.4820,14.0,49.0
4000000,pi,2,0.2806,0.4902,14.2,48.0
4000000,mppi,2,0.2920,0.4913,15.0,48.0
4250112,pi,2,0.2814,0.4848,14.4,44.6
4250112,mppi,2,0.2933,0.4747,14.666666666666666,51.333333333333336
