step,reward,eval_type,seed
250112,0.0,pi,3
250112,0.0,mppi,3
500224,2.2,pi,3
500224,0.3,mppi,3
750080,2.9,pi,3
750080,1.5,mppi,3
1000192,1.9,pi,3
1000192,0.0,mppi,3
1250048,0.0,pi,3
1250048,2.6,mppi,3
1500160,4.4,pi,3
1500160,0.0,mppi,3
1750016,0.0,pi,3
1750016,5.1,mppi,3
2000128,6.5,pi,3
2000128,0.0,mppi,3
2250240,4.7,pi,3
2250240,0.0,mppi,3
2500096,2.7,pi,3
2500096,4.9,mppi,3
2750208,0.8,pi,3
2750208,6.3,mppi,3
3000064,83.8,pi,3
3000064,0.0,mppi,3
3250176,203.1,pi,3
3250176,0.0,mppi,3
3500032,0.0,pi,3
3500032,1.8,mppi,3
3750144,4.0,pi,3
3750144,3.6,mppi,3
4000000,6.3,pi,3
4000000,0.0,mppi,3
4250112,3.9,pi,3
4250112,6.2,mppi,3
4500224,0.1,pi,3
4500224,1.6,mppi,3
4750080,8.7,pi,3
4750080,0.0,mppi,3
5000192,16.6,pi,3
5000192,14.1,mppi,3
5250048,169.8,pi,3
5250048,148.7,mppi,3
5500160,214.3,pi,3
5500160,231.2,mppi,3
5750016,225.8,pi,3
5750016,254.2,mppi,3
6000128,214.0,pi,3
6000128,255.2,mppi,3
6250240,226.5,pi,3
6250240,255.9,mppi,3
6500096,198.4,pi,3
6500096,227.4,mppi,3
