step,reward,eval_type,seed
250112,0.0,pi,5
250112,0.0,mppi,5
500224,0.5,pi,5
500224,2.7,mppi,5
750080,0.0,pi,5
750080,0.0,mppi,5
1000192,0.0,pi,5
1000192,0.0,mppi,5
1250048,0.0,pi,5
1250048,0.4,mppi,5
1500160,0.0,pi,5
1500160,0.0,mppi,5
1750016,0.0,pi,5
1750016,0.0,mppi,5
2000128,0.0,pi,5
2000128,0.0,mppi,5
2250240,0.1,pi,5
2250240,0.0,mppi,5
2500096,0.8,pi,5
2500096,10.3,mppi,5
2750208,2.3,pi,5
2750208,4.9,mppi,5
3000064,0.9,pi,5
3000064,0.0,mppi,5
3250176,18.6,pi,5
3250176,23.7,mppi,5
3500032,74.0,pi,5
3500032,0.0,mppi,5
3750144,10.8,pi,5
3750144,17.8,mppi,5
4000000,96.2,pi,5
4000000,62.9,mppi,5
4250112,179.7,pi,5
4250112,200.0,mppi,5
4500224,196.1,pi,5
4500224,204.8,mppi,5
4750080,183.9,pi,5
4750080,210.0,mppi,5
5000192,201.4,pi,5
5000192,231.6,mppi,5
5250048,207.0,pi,5
5250048,213.0,mppi,5
5500160,201.2,pi,5
5500160,226.2,mppi,5
5750016,198.5,pi,5
5750016,214.5,mppi,5
6000128,217.9,pi,5
6000128,237.7,mppi,5
6250240,224.7,pi,5
6250240,231.4,mppi,5
6500096,82.1,pi,5
6500096,153.1,mppi,5
6750208,171.8,pi,5
6750208,158.9,mppi,5
