step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,10,0.0000,0.0346,4.0,1000.0
250112,mppi,10,0.0000,0.0000,0.0,1000.0
500224,pi,10,0.0000,0.0356,4.6,1000.0
500224,mppi,10,0.0000,0.0017,0.3333333333333333,1000.0
750080,pi,10,0.0000,0.0012,0.4,1000.0
750080,mppi,10,0.0000,0.0000,0.0,1000.0
1000192,pi,10,0.0012,0.0078,0.4,805.4
1000192,mppi,10,0.0037,0.0060,0.3333333333333333,673.3333333333334
1250048,pi,10,0.0000,0.0024,0.2,1000.0
1250048,mppi,10,0.0000,0.0000,0.0,1000.0
1500160,pi,10,0.0000,0.0000,0.0,1000.0
1500160,mppi,10,0.0080,0.0157,0.6666666666666666,346.3333333333333
1750016,pi,10,0.0000,0.0006,0.2,1000.0
1750016,mppi,10,0.0057,0.0127,0.3333333333333333,707.6666666666666
2000128,pi,10,0.0028,0.0112,0.6,633.2
2000128,mppi,10,0.0057,0.0123,0.3333333333333333,677.3333333333334
2250240,pi,10,0.0036,0.0108,0.8,609.6
2250240,mppi,10,0.0000,0.0000,0.0,1000.0
2500096,pi,10,0.0030,0.0042,0.2,803.2
2500096,mppi,10,0.0000,0.0010,0.3333333333333333,1000.0
2750208,pi,10,0.2410,0.3976,16.2,62.8
2750208,mppi,10,0.2373,0.4330,19.333333333333332,56.666666666666664
3000064,pi,10,0.2008,0.3382,19.2,263.8
3000064,mppi,10,0.1620,0.3527,14.333333333333334,87.33333333333333
3250176,pi,10,0.2674,0.4168,18.0,57.8
3250176,mppi,10,0.2487,0.4923,22.0,68.0
3500032,pi,10,0.2952,0.4302,14.4,45.2
3500032,mppi,10,0.2017,0.5780,14.0,78.0
